companyName,domain,sourceList
Greif Mimaysan Ambalaj San. A.Ş.,greif.com,GOSB
Grundfos Pompa San. ve Tic. Ltd. Şti.,grundfos.com,GOSB
Gülçiçek Kimya ve Uçan Yağlar San. ve Tic. A.Ş.,,GOSB
Gülçiçek Kimya ve Uçan Yağlar San. ve Tic. A.Ş. MG İkinci Şubesi,,GOSB
Güngör Otomobil Yan Sanayi A.Ş.,gungorotomobil.com.tr,GOSB
Habaş Endüstri Tesisleri A.Ş. (Gebze Şubesi),habas.com.tr,GOSB
Has Alüminyum San. ve Tic. A.Ş.,hasaluminyum.com,GOSB
Hektaş Tic. T.A.Ş.,hektas.com,GOSB
Hürmak Plastik Otomotiv Mak. İm. San. ve Tic. A.Ş.,hur-mak.com.tr,GOSB
Hüseyin Sedat Gülçağlayan,,GOSB
Hüseyin Vehbi Cebeci,osmanli-bohler.com,GOSB
IFF Aroma Esans Sanayi ve Ticaret A.Ş.,iff.com,GOSB
Innomotics Motorlar ve Yüksek Güçlü Sürücüler A.Ş. Gebze Şubesi,innomotics.com,GOSB
ISCAR Kesici Takım Ticareti ve İmalatı Ltd. Şti.,iscar.com.tr,GOSB
İshakol Boya San. A.Ş.,ishakolboya.com,GOSB
Işık Plastik San. ve Dış Tic. Paz. A.Ş.,isikplastik.com.tr,GOSB
Işık Plastik San. ve Dış. Tic. Paz. A.Ş.,isikplastik.com.tr,GOSB
"Işın Oluklu Mukavva ve Ambalaj, Gıda, Tekstil San. ve Tic. Ltd. Şti.",isinambalaj.com,GOSB
JTR Enerji Otomasyon Sistemleri San. Ve Tic. A.Ş.,,GOSB
K.Tunçkan Bellisan/E.Ruhi Sürmeli /Has Alüminyum San. ve Tic. A.Ş.,,GOSB
Kale Care Chemicals Kimyevi Maddeler A.Ş.,kalecare.com,GOSB
Kamasan Kalıp Makine San. ve Tic. A.Ş.,kamasan.com,GOSB
Karakaya 86 Katoforez Kaplama Kimyevi Mad. Mak. İnş. San. Tic. Ltd. Şti.,karakaya86.com.tr,GOSB
Karakaya 86 Katoforez Kaplama San. ve Tic. A.Ş.,karakaya86.com.tr,GOSB
Karakaya Pres Otomotiv San. ve Tic. Ltd. Şti.,karakaya86.com.tr,GOSB
Karataş Traktör Tic. A.Ş.,karatastraktor.com,GOSB
Kaya Architecture Mühendislik A.Ş.,kayagrubu.com.tr,GOSB
Kaya Yapı İç Mimarlık Tasarım İnş. Deniz ve Taahhüt San. Tic. A.Ş.,kayagrubu.com.tr,GOSB
Kayalar Kimya San. Ve Tic. A.Ş.,kayalarkimya.com.tr,GOSB
KCC Boya San. ve Tic. Ltd. Şti.,kccworld.co.kr,GOSB
Keskinkılıç Gıda San. ve Tic. A.Ş.,balkupu.com.tr,GOSB
Kimar Kimyasal Ara Mad. San. Tic. A.Ş.,duratek.com.tr,GOSB
Klöckner Pentaplast Gebze Ambalaj Maddeleri A.Ş.,kpfilms.com,GOSB
Koçel Çelik Eşya San. ve Tic. A.Ş.,kocel.com.tr,GOSB
Koçsel İlaç San. Ve Tic. A.Ş.,onkokocsel.com,GOSB
Kosan Kozmetik San. ve Tic. A.Ş. GOSB 2 Şubesi,flormar.com,GOSB
Kuhne Und Nagel Nakliyat Ltd. Şti.,,GOSB
KYM Kablo San.ve Tic. A.Ş,kymkablo.com,GOSB
Legrand Elektrik Sanayi A.Ş.,legrand.com.tr,GOSB
