Domain
0.0.0.123
0.0.1.99
0.0.48.58
0.188.97.78
3bcocukakademisi.com
abc.k12.tr
aci.k12.tr
adanakoleji.k12.tr
akantokullari.com
akdenizyukseliskoleji.k12.tr
akevkoleji.k12.tr
akhisarkoleji.com
akimkoleji.k12.tr
alev.k12.tr
alkev.k12.tr
altinegitim.k12.tr
altineller.k12.tr
altunizadebilgemontessori.com
anadolu.ivmeegitim.com.tr
anadolukoleji.com
anakentkoleji.k12.tr
anasehirkoleji.com
ankabilim.k12.tr
ankara.istek.k12.tr
ankaraek.k12.tr
aramyanuncuyan.k12.tr
arel.k12.tr
arenaokullari.k12.tr
ariokullari.k12.tr
armadaokullari.com
artidestek.com.tr
arzuanne.com.tr
asrinanaokul.com
atacan.k12.tr
ataelkoleji.com
atasehir.yapaanaokulu.com
atayurt.com
aykoleji.k12.tr
ayseabla.k12.tr
azra.com.tr
balgatseviyeokullari.com
balkanlarkoleji.k12.tr
basakkoleji.k12.tr
beylerbeyi.itugvo.k12.tr
beylikduzuaydinlarkoleji.com
beytepekoleji.com
bezciyan.k12.tr
bilfen.com
bilge.k12.tr
bilgekoleji.k12.tr
bilgemokullari.com
bilgikoleji.net
bilimkent.k12.tr
bilimyasam.com
bilinckoleji.com
bilkent.edu.tr
bims.bilkent.edu.tr
bisi.k12.tr
bisk12.tr
bursabuyukkolej.k12.tr
buyukbasari.k12.tr
buyukkolej.k12.tr
cag.k12.tr
cagdasoncuokullari.com
cakabey.k12.tr
camagacianaokulu.k12.tr
camlaralti.k12.tr
camlicakoleji.com.tr
cekmekoy.finalokullari.com.t
cekmekoy.finalokullari.com.tr
centkoleji.k12.tr
cernkoleji.k12.tr
cevrekoleji.k12.tr
cihangir.k12.tr
cinarkoleji.com.tr
cndokullari.k12.tr
dadyan.k12.tr
darussafaka.k12.tr
denge.k12.tr
denizliistekokullari.k12.tr
dogakoleji.com
dogakoleji.k12.tr
dogankoleji.com
dogrucocuk.com
dostlaregitimkurumlari.com
ds-istanbul.net
duslersatosu.com
edcokullari.com
edukenttuzla.com
efdal.com
egeberkanaokulu.com
egebil.com.tr
egelisesi.k12.tr
ekim.k12.tr
ekokidsbahcesehir.com
ekolojikkulturokullari.com
ekremelginkan.itugvo.k12.tr
elitgencler.k12.tr
emrekoleji.k12.tr
erakoleji.k12.tr
eraslan.k12.tr
erciyeskoleji.com
erdemokullari.com.tr
eren.k12.tr
erkanulu.k12.tr
erseanaokullari.com
erseokullari.com
eryetisdenizcilik.k12.tr
eryetissaglik.k12.tr
esayan.k12.tr
eurosun.com.tr
evrekoleji.com
evrenselkolej.k12.tr
evrim.k12.tr
evyapokullari.k12.tr
eyuboglu.k12.tr
ezgililer.k12.tr
feio.k12.tr
fenbilimkayseri.com
fenbilimleri.com
fenkoleji.com
fethiyeanaokulu.k12.tr
fethiyeata.k12.tr
fideokullari.k12.tr
fidolokullari.com
finalokullari.com.tr
floryakoleji.k12.tr
fmv.edu.tr
fmvisikokullari.k12.tr
fonokoleji.k12.tr
galileilisesi.k12.tr
geleceginmimarlari.com
gelecekstore.com
gelisimkoleji.k12.tr
genkoleji.com
gkv.k12.tr
gokkusagi.k12.tr
guneygelisim.k12.tr
hisarschool.k12.tr
hotmail.com
ibrahimyucel.k12.tr
icelkoleji.com
ide.k12.tr
ielev.k12.tr
ihlaskoleji.com
ilgiokullari.k12.tr
ilimfaziletvakfi.org.tr
ilkcizgi.com.tr
ilkokul.nds.k12.tr
imikoleji.k12.tr
irmak.k12.tr
isikkent.k12.tr
istek.k12.tr
istekgaziantep
istekgaziantepokullari.k12.tr
istekmersinokullari.com
ita.k12.tr
itk.k12.tr
itugvo.k12.tr
izmirsj.k12.tr
izmit.seymenkolej.com
kalev.k12.tr
kalfayan.k12.tr
kamerkoleji.com
kanyonkoleji.k12.tr
karagozyan.k12.tr
kesfedeneller.com
kidoole.com
kilittasiokullari.k12.tr
kirac.k12.tr
kirsehirkoleji.com
koc.k12.tr
kolejidea.com
korayvarolokullari.k12.tr
kp.k12.tr
kucukadimlar.com.tr
kucukyildizlar.com.tr
kultur.k12.tr
kultur2000.k12.tr
kutlubeyokullari.com
liceoitaliano.net
mavidunya.k12.tr
mecokullari.k12.tr
mef.k12.tr
mefis.k12.tr
mek.k12.tr
meltemayhan.k12.tr
memkoleji.com
metodkoleji.com
metodkoleji.com.tr
mevkolejiankara.k12.tr
minecananaokulu.com
modafen.com.tr
modernegitimkoleji.com
mskolej.k12.tr
mutluadimlar.com.tr
naranaokulu.k12.tr
natukbirkan.itugvo.k12.tr
nds.k12.tr
nezihaarslankoleji.com
obl.bilkent.edu.tr
odakokullari.com
odtugvo.k12.tr
oguzhanozkayaegitim.com
oguzkaankoleji.com
ohepokullari.k12.tr
okankoleji.com
okyanuskoleji.k12.tr
oranokullari.com
ortadogukoleji.k12.tr
oyaakinyildiz.k12.tr
oyunkoleji.k12.tr
ozelcagdas.k12.tr
ozelfethiye.k12.tr
ozelozguradimlaranaokulu.k12.tr
ozelsinkoleji.com
ozgekoleji.k12.tr
pakkan.com.tr
pangaltilisesi.k12.tr
parkcocukkoleji.com
paylasimkoleji.com
pekkoleji.com
