firma_adi;adres;telefon;website;domain;birlik
GEBERİT TESİSAT SİSTEMLERİ TİCARET LTD. ŞTİ.;İÇERENKÖY MH. ENGİN SK. NO.10 D.1ATAŞEHİR İÇERENKÖY ATAŞEHİR İSTANBUL;(216) 3408273;www.geberit.com.tr;geberit.com.tr;ÇİB - Çelik İhracatçıları Birliği
ALİENTO DIŞ TİCARET VE PAZARLAMA LİMİTED ŞİRKETİ;FERAH MH GİRGİN SK NO:15-17/2 34660 ÜSKÜDAR İSTANBUL;(216) 0000000;;;ÇİB - Çelik İhracatçıları Birliği
ONR GLOBAL DANIŞMANLIK ENERJİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;TAHTAKALE MH. TAHTAKALE CD. NO: 21/514 FATİH İSTANBUL;;;;ÇİB - Çelik İhracatçıları Birliği
İSTANBUL ELEGANCE DIŞ TİC.LTD.ŞTİ.;BALABANAĞA MAH.FETHİ BEY CAD.LALELİ GALERIA İŞ MER. NO:20/316 FATİH İSTANBUL;;;;ÇİB - Çelik İhracatçıları Birliği
ERTOK GLOBAL HIRDAVAT OTOM. ARAÇ KİRALAMA SAN. VE DIŞ TİC. LTD. ŞTİ;ALEMDAĞ ÇATALÇEŞME MAH.TURGUTÖZAL BULV. NO.215 ALEMDAĞ(ALEMDAR) ÇEKMEKÖY İSTANBUL;(216) 4290890;;;ÇİB - Çelik İhracatçıları Birliği
FİMAR MERMER MADENCİLİK İNŞAAT AKARYAKIT TURZ. TAR. SERA. HAY. GIDA ÜRÜNLERİ TİCARET SANAYİ A.Ş.;ORGANİZE SAN.1.KISIM 1.CD.NO:5NO:4 SİVAS SİVAS;(346) 2181480;www.fimar.com.tr;fimar.com.tr;ÇİB - Çelik İhracatçıları Birliği
KALYON İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;FEVZI CAKMAK BULV.NO.69 ŞAHİNBEY GAZİANTEP;03423212199;;;ÇİB - Çelik İhracatçıları Birliği
CİTUS ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;AYAZAĞA MAH MİMARSİNAN SOKAK NO: 21 D BLOK D:78 SARIYER İSTANBUL;(212) 2661500;;;ÇİB - Çelik İhracatçıları Birliği
RETRO DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.;VELİBABA MAHALLESİ TEMAŞA SOKAK NO:3/4 D BLOK5 PENDİK İSTANBUL;(216) 3714582;;;ÇİB - Çelik İhracatçıları Birliği
BOLELLİ METAL HURDA MADENCİLİK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;DOSB MH DEŞ SAN SİT 109 SK B.16 BLOK NO:6 ÜMRANİYE İSTANBUL;(216) 5900088;www.bolellimetal.com;bolellimetal.com;ÇİB - Çelik İhracatçıları Birliği
