FirmaAdi;WebSitesi;Domain;Email
"Ana metal sanayii";"";"";""
"Ana metal sanayii";"";"";""
"Ana metal sanayii";"";"";""
"Ana metal sanayii";"";"";""
"Başka yerde sınıflandırılmamış makine ve ekipman imalatı";"";"";""
"Elektrikli teçhizat imalatı";"";"";""
"Elektrikli teçhizat imalatı";"";"";""
"Elektrikli teçhizat imalatı";"";"";""
"Kara taşımacılığı ve boru hattı taşımacılığı";"";"";""
"Kara taşımacılığı ve boru hattı taşımacılığı";"";"";""
"Kara taşımacılığı ve boru hattı taşımacılığı";"";"";""
"Kara taşımacılığı ve boru hattı taşımacılığı";"";"";""
"Kauçuk ve plastik ürünlerin imalatı";"";"";""
"Kauçuk ve plastik ürünlerin imalatı";"";"";""
"Kimyasalların ve kimyasal ürünlerin imalatı";"";"";""
"Kimyasalların ve kimyasal ürünlerin imalatı";"";"";""
"Kimyasalların ve kimyasal ürünlerin imalatı";"";"";""
"Kimyasalların ve kimyasal ürünlerin imalatı";"";"";""
"Kimyasalların ve kimyasal ürünlerin imalatı";"";"";""
"Makine ve ekipmanların kurulumu ve onarımı";"";"";""
"Motorlu kara taşıtlarının ve motosikletlerin toptan ve perakende ticareti ile onarımı";"";"";""
"Motorlu kara taşıtlarının ve motosikletlerin toptan ve perakende ticareti ile onarımı";"";"";""
"Özel inşaat faaliyetleri";"";"";""
"Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı";"";"";""
"Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı";"";"";""
