firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
KAHVECİOĞLU GIDA TEK. ZÜC. TEMZ. ÜRN. PAZ. SAN. VE DIŞ TİC. LTD. ŞTİ. ;MEGACENTRE KOCATEPE MAH.12.SKC 49 BLOK NO:465;İSTANBUL;BAYRAMPAŞA;(212) 6404571;www.kahvecioglugida.com;kahvecioglugida.com;İİB-FINDIK
MERTER HELVA. SAN VE TIC. A.Ş.;AMBARLI KAVŞAĞI CİHANGİR MAH.ŞEHİT ZAFER SOKAK;İZMİR;Avcılar;;www.koska.com;koska.com;İİB-FINDIK
KARIN GIDA SAN. VE TIC. A.Ş.;ÇEVRİK MAH. ŞEHİT MESUT KIROĞLU CAD. NO:60/1-A-B ;DÜZCE;CUMAYERİ;+(212) 2199784;www.karinnuts.com;karinnuts.com;İİB-FINDIK
BAŞAK TÜKETİM VE GIDA MAD.SAN. VE PAZ.A.Ş;SEYRAN MAH. YENI ISTANBUL CAD. NO:2962;KONYA;AKŞEHİR;(332) 8127500;www.basakgida.com.tr;basakgida.com.tr;İİB-FINDIK
YAVUZ FERFORJE VE DEMİR TİC. VE SAN. A.Ş.;TURAN BAHADIR CAD. ORG. SAN. BÖL.NO:15;DENIZLI;MERKEZ;(258) 2691664;www.fatih.com.tr;fatih.com.tr;İİB-FINDIK
KÜMBETLİ TARIM ÜRÜNLERİ SANAYİ  VE TİC.A.Ş.;TEYYAREDÜZÜ MAH.SUNTA SOK.NO:2;GIRESUN;MERKEZ;(454) 2156051;www.kumbetlifindik.com.tr;kumbetlifindik.com.tr;İİB-FINDIK
MERKO GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;LEVENT MAH. CÖMERT SOK. YAPIKREDİPLAZA SİTESİ B BLOK NO:1-B/23;İSTANBUL; ;;www.merko.com.tr;merko.com.tr;İİB-FINDIK
ÖZYILMAZ FINDIK SANAYİ VE TİCARET A.Ş.;SAMSUN-ORDU KARAYOLU BEYLERCEMEVKII;SAMSUN;İLKADIM;(362) 8334256;www.ozyilmazfindik.com;ozyilmazfindik.com;İİB-FINDIK
ŞENKARDEŞ GIDA SAN. VE TİC. LTD. ŞTİ.;HANLIKÖY MAH. ESKİŞEHİR CD. NO:123;SAKARYA;ARİFİYE;(264) 2764760;www.senkardes.com.tr;senkardes.com.tr;İİB-FINDIK
PERVARİ GIDA İTH. İHR. VE PAZ. TİC. LTD. ŞTİ.;12.SK MEGA CENTER İŞ MRK. A BLOK NO:467;İSTANBUL;BAYRAMPAŞA;(212) 6409983;www.pervarigida.com;pervarigida.com;İİB-FINDIK
TADIM GIDA MADDELERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;ATATÜRK MAH. ATAŞEHİR CAD.ÇİTLEMBİK SOK. NO:4/1;İSTANBUL;ATAŞEHİR;(262) 6727400;www.tadim.com.tr;tadim.com.tr;İİB-FINDIK
CARGILL TARIM SAN. VE TİC. AŞ;KISIKLI CAD.NO:4 A BLOKBÖLÜM 8-9-10-11;İSTANBUL;ÜSKÜDAR;(216) 5541800;www.cargill.com.tr;cargill.com.tr;İİB-FINDIK
