firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
BERTH MARİNE DENİZ HİZMETLERİ VE GEMİ BAKIM ONARIM SAN.TİC.LTD.ŞTİ.;EVLİYA ÇELEBİ MH KOŞAR SK A BLK NO:2;İSTANBUL;TUZLA;(216) 3647533;;;İİB-GEMİ
BK TERSANECİLİK DENİZCİLİK SAN.VE TİC.A.Ş;AYDINTEPE MAH. HUDUT SK. NO: 1 İÇ KAPI NO: 1;İSTANBUL;TUZLA;(216) 0000000;;;İİB-GEMİ
SİLSAN SİLİNDİR  MOTOR ELEMANLARI SAN. VE TİC. A.Ş.;MERSIN YOLU UZERI10 KM.P.K-127ŞEHİTLİK TRAFO YANI;ADANA;SEYHAN;(322) 4410311;www.silsan.com;silsan.com;İİB-GEMİ
BOFOR MÜHENDİSLİK DİZAYN İMALAT VE TİC.LTD.ŞTİ.;AYDINLI BİRLİK OSB MAH. BATI CD. NO:28;İSTANBUL;TUZLA;(216) 4664620;;;İİB-GEMİ
KAAN HAVACILIK SAN TİC AŞ;ERKUT SK ÜNVER PLAZA 4 B BLOK 1-2;İSTANBUL;ATAŞEHİR;(216) 4251700;;;İİB-GEMİ
TEKMONT ENDÜSTRI TESISLERI IMALAT VE MONTAJ SANAYI TICARET ANONIM SIRKETI;KARADENIZLILER MAH. BASYIGIT CAD. NO: 188 C IÇ KAPI NO: 1;KOCAELI;BAŞİSKELE;(216) 5276166;;;İİB-GEMİ
DSB LOJİSTİK DENİZ SALLARI BAKIMI SANAYİ VE TİC.LTD.ŞTİ.;AYDINLI MAH.ORGANİZE DERİ SAN.SİTESİ 24.PARSEL;İSTANBUL;TUZLA;(216) 4102051;;;İİB-GEMİ
ALTINBAŞ PETROL VE TİCARET A.Ş;ŞEVKETİYE MAH.İDTM A-1 BLOK K.10 NO:339-346;İSTANBUL;BAKIRKÖY;;;;İİB-GEMİ
EROL ŞENKAYA ORT.-ERNEŞE DENİZCİLİK;DENİZKÖŞKLER MAH. ALTUNE SOK NO:8/2;İSTANBUL;AVCILAR;(226) 4615111;;;İİB-GEMİ
DENKA GEMİ İŞLETMECİLİĞİ SAN. VE TİC. LTD. ŞTİ.;POSTANE MAH.AKAR SK.NO:12 C/1 ;İSTANBUL;TUZLA;(216) 5509046;;;İİB-GEMİ
HÜROĞLU OTOMOTİV SANAYİ İTH.-İHR. VE TİC.A.Ş.;YENI YALOVA YOLU 12.KM;BURSA;OSMANGAZİ;(224) 2671112;www.huroglu.com;huroglu.com;İİB-GEMİ
FRAME MARINE DANISMANLIK TICARET LIMITED SIRKETI;ACIBADEM MAH. UMUT SK. UMUT APT NO: 9 A;İSTANBUL;KADIKÖY;(216) 0000000;;;İİB-GEMİ
DCS DENİZCİLİK MÜHENDİSLİK SAN VE TİC.LTD.ŞTİ;CEVİZLİ MAH. ZUHAL  CAD. NO:46A/64;İSTANBUL;MALTEPE;(216) 5102617;;;İİB-GEMİ
NORSE ÇELİK İNŞAAT MÜHENDİSLİK DENİZCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İTOB O.S.B. E.DEMİRTAŞ CAD. NO:50 MENDERESİZMİR;KOCAELI;GEBZE;(232) 7990153;www.norcelik.com;norcelik.com;İİB-GEMİ
TUNA GEMİ İKMAL SAN. TİC. LTD. ŞTİ.;EVLİYA ÇELEBİ MAH. GENÇ OSMAN CAD. NO:44  A/1 ;İSTANBUL;TUZLA;02164467403;;;İİB-GEMİ
ÇARKÇI DENİZCİLİK A.Ş.;EVLİYA ÇELEBİ MAH. GANİ SOK. NO:36 ;İSTANBUL;TUZLA;(216) 4460708;;;İİB-GEMİ
İDEMARİNE  İÇ VE DIŞ TİCARET LTD. ŞTİ.;AKŞEMSETTİN MAH. FATİH BULVARI  NO:552;İSTANBUL;SULTANBEYLİ;(216) 4870142;www.husnayapi.com;husnayapi.com;İİB-GEMİ
DEKA MARİN DENİZ MALZEMELERİ TİC.A.Ş;İKİTELLİ CAD NO:178K.ÇEKMECE;İSTANBUL;KÜÇÜKÇEKMECE;(212) 5484000;www.dekamarine.com;dekamarine.com;İİB-GEMİ
İZZET ÇAKAN GEMİ YAN. SAN. VE TİC. LTD.ŞTİ.;AYDINLI PATLAYICI MADDELER YOLU CAD.BEYOĞLU YAPI KOOP.E 3 BLOK NO:1;İSTANBUL;TUZLA;(216) 4463427;www.izzetcakanvalf.com.tr;izzetcakanvalf.com.tr;İİB-GEMİ
ABS PV END.VALF SAN.VE TİC.A.Ş;AYDINLI MAH.EVRENPASA CAD.G-81;İSTANBUL;TUZLA;(216) 4469300;;;İİB-GEMİ
REM MARİNE YAT GEMİCİLİK SAN.VE TİC.A.Ş;EVLİYA ÇELEBİ MAH.GANİ SOK .KAPINO:15/1;İSTANBUL;TUZLA;(216) 0000000;;;İİB-GEMİ
MONARCH MARİNE DENİZ MALZEMELERİ TURİZM KİRALAMA SAN. İÇ VE DIŞ TİC. LTD. ŞTİ.;HACIMİMİ MAH. KEMERALTI CAD. NO:31/B BEYOĞLU;İSTANBUL;BEYOĞLU;(212) 2512050;;;İİB-GEMİ
YEKE DENİZCİLİK GEMİ  ACENTECİLİĞİ DIŞ TİC. SAN A.Ş;.REVLİYA ÇELEBİ MHAUF ORBAY CAD. AK İŞ MERKEZİ NO:33;İSTANBUL;TUZLA;(216) 4461938;www.yelkendenizcilik.com.tr;yelkendenizcilik.com.tr;İİB-GEMİ
AVART DENİZ ARAÇLARI ELEKTRİK SAN.VE TİC.LTD.ŞTİ;KAVACIK MH.SERPİL SK NO:5 İÇ KAPI NO :1;İSTANBUL;BEYKOZ;(216) 4650075;http://www.avartluxurytoys.com;avartluxurytoys.com;İİB-GEMİ
OTOS TECH MÜHENDSLİK SAN. A.Ş;ŞEKERPINAR MAH AYÇİÇEK SOK NO:29;KOCAELI;ÇAYIROVA;(262) 6584006;www.otostech.com;otostech.com;İİB-GEMİ
MERCAN DENİZCİLİK GEMİCİLİK VE TİCARET LTD.ŞTİ.;KARAMUSTAFAPAŞA SOK.MURAT HAN K:1 NO:53/55;İSTANBUL;BEYOĞLU;(212) 2453333;https://mercandenizcilik.com/;mercandenizcilik.com;İİB-GEMİ
BAYRAKTAR GEMİ İŞLETMECİLİĞİ VE KİRALAMA A.Ş ;EĞİTİM MAH. AHSEN ÇIKMAZI SOK  NO:78 SADIKOĞLU PLAZA 5 HASANPAŞA ;İSTANBUL;KADIKÖY;(216) 3488322;www.bayraktar.net;bayraktar.net;İİB-GEMİ
ORKSA MAKİNE SATIŞ VE SERVİS SAN.LTD.ŞTİ.;BAĞDAT CAD.KASADAR SOK 9/C;İSTANBUL;KADIKÖY;(216) 3621777;www.orksa.com.tr;orksa.com.tr;İİB-GEMİ
GOLDA MARİNE DENİZCİLİK SAN.VE TİC.A.Ş.;AYDINTEPE MAH.SAHİL BLV.ALİZE İŞ MERKEZİ NO:191/100 TUZLA İSTANBUL PK:34959 ;İSTANBUL;TUZLA;(216) 4939091;www.goldamarine.com;goldamarine.com;İİB-GEMİ
OCEAN VOYAGER ELEKTRONİK SİSTEMLERİ SAN. VE TİC. A.Ş.;GÜZELYALI MAH. SAHİL BULV. NO:88İÇ KAPI:2 ;KOCAELI;DİLOVASI;(216) 4939351;www.oceanvoyagermarine.com;oceanvoyagermarine.com;İİB-GEMİ
SARILAR ULUSLARARASI NAKLİYAT İTHALAT İHRACAT A.Ş.;BARIŞ MAH.D-100 KARAYOLU CAD. NO:334-336;KOCAELI;GEBZE;(262) 6411100;www.sarilar.com.tr;sarilar.com.tr;İİB-GEMİ
BOYUT MAKİNE SAN.VE TİC.LTD.ŞTİ.;MALTEPE MAH. DAVUTPAŞA CAD.GÜRÜN SOK.BAŞOĞLU SAN. SİT. NO:3/17;İSTANBUL;ZEYTİNBURNU;02124262455;;;İİB-GEMİ
ALESTA MARİNE TURZ. SAN VE TİC.LTD.ŞTİ;TEPE MAH. KORDON CAD. NO:56/7;MUĞLA;MARMARİS;;www.alestamarine.com.tr;alestamarine.com.tr;İİB-GEMİ
ELKON ELEKTRIK SANAYI VE TICAR ET A.S.;RAUF ORBAY CAD. NO. 37;İSTANBUL;TUZLA;02163956695;www.elkon-tr.com;elkon-tr.com;İİB-GEMİ
İMTES İMALAT TEKNOLOJİSİ SAN.VE TİC.LTD.ŞTİ.;IVEDIK ORG.SAN.BÖLG.689 SK.13;ANKARA;YENİMAHALLE;(312) 3955902;;;İİB-GEMİ
KAHRAMANMARAŞ KAĞIT SAN.TİC.A.Ş.;EYÜPSULTAN MH. R.TAYYİP ERDOĞANBLV.NO:136/A;K.MARAŞ;DULKADİROĞLU;(344) 2360830;www.kmkpaper.com;kmkpaper.com;İİB-GEMİ
AYNUR CESUR;GÜZELYALI MAH.DÖRTÇELİK CD.AYDINALP APT.B BLOKNO:3B;BURSA;MUDANYA;;;;İİB-GEMİ
İÇDAŞ ÇELİK ENERJİ TERSANE VE ULASIM SANAYİ A.Ş.;İÇDAŞ PLAZA MAHMUTBEY MAH. DİLMENLER CAD. NO:20 MAHMUTBEY;İSTANBUL;BAĞCILAR;(212) 6040404;www.icdas.com.tr;icdas.com.tr;İİB-GEMİ
ORDU DENİZCİLİK VE TİCARET ANONİM ŞİRKETİ;MASLAK MAH. BİLİM SK. SUN PLAZA NO: 5A - 52;İSTANBUL;SARIYER;(212) 2132300;;;İİB-GEMİ
DUZGIT GEMI INS. SAN.A.S.;AYDINTEPE MAH.YAKUT SK.NO:11/1;İSTANBUL; ;(216) 4936064;www.duzgit.com;duzgit.com;İİB-GEMİ
ODİN GENEL KUMANYACILIK DIŞ TİC AŞ.;YAYLA MAH. HATBOYU CAD. NO: 56H;İSTANBUL;TUZLA;(216) 5148262;http://www.odinshipsupply.com;odinshipsupply.com;İİB-GEMİ
DATA HIDROLIK MAKINA SAN. A.S.;İDOSB.YAN SAN.ALANI YA-8PARSEL AYDINLI;İSTANBUL;TUZLA;(212) 5910745;www.datahidrolik.com;datahidrolik.com;İİB-GEMİ
ACCOMAR İÇ MİMARLIK A.Ş;ÇAVUŞ ÇİFLİĞİ KÖYÜ DEVLET YOLU ÜSTÜ MEVKİ NO:181;YALOVA;ALTINOVA;(226) 4614445;;;İİB-GEMİ
ŞAHİNLER DENİZCİLİK YATÇ.SAN.VE TİC.LTD.ŞTİ.;CUMHURİYET MAH.KUĞU SOK.NO:5 ZEMİNKAT;İSTANBUL;KARTAL;(216) 3776060;www.sahinlerdenizcilik.com;sahinlerdenizcilik.com;İİB-GEMİ
EGE SANCAK YATÇILIK TURİZM İNŞAAT OTOMOTİV GIDA SAN TİC A.Ş.;ADRES RÜSTEM MAHALLESİ ATEŞ SOKAK NO: 24 İÇ KAPI N;İZMİR;URLA;(232) 4217672;;;İİB-GEMİ
DOĞULU TURIZM SEYAHAT YATÇILIK VE SERVIS HIZMETLERI TICARET ANONIM SIRKETI;TARABYA MAH. HAYDAR ALIYEV CAD. NO: 138 /1 IÇ KAPI NO: 1;İSTANBUL;SARIYER;(256) 6143627;www.begumyachting.com;begumyachting.com;İİB-GEMİ
MACH GLOBAL DENİZCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YENİŞEHİR MAHALLESİ MUSTAFA AKYOL CAD. MVK SİTESİ  A BLOK NO13 KAPI NO 13;İSTANBUL;PENDİK;(216) 0000000;;;İİB-GEMİ
HARBOR EAGLE GEMİCİLİK ANONİM ŞİRKETİ;CAMİ MAH. MEHTER SK.NO:38 AA ;İSTANBUL;TUZLA;;;;İİB-GEMİ
NETMAK ENDÜSTRİ VE AHŞAP MAKİNALARI İMALT SANAYİ VE TİC. A.Ş;KOÇAK SOK NO:54 SİTELER;ANKARA;ALTINDAĞ;(312) 3489898;www.netmakgroup.com.tr;netmakgroup.com.tr;İİB-GEMİ
TURQUOISE  YAT SANAYİ .A.Ş.;GÜZELYALI MH.MALKOÇOĞLU SOK NO.3/1;İSTANBUL;PENDİK;(216) 4938248; www.turquoiseyachts.com ;turquoiseyachts.com;İİB-GEMİ
DİDAR ENDÜSTRİYEL SOĞUTMA VE ISITMA SAN.TİC.A.Ş ;EVLİYA ÇELEBİ MH. MİRAC SOK NO:8 ;İSTANBUL;TUZLA;(850) 2265100;www.didarmakina.com;didarmakina.com;İİB-GEMİ
ALESTA MOTOR DENİZ SAN TUR TİC İTH İHR LTD ŞTİ;ÇAMDİBİ MH BELDİBİ CD  ATA SAN SİT NO 7/1/3;MUĞLA;MARMARİS;(252) 0000000;;;İİB-GEMİ
BAMARİN MÜHENDİSLİK METAL YAPI İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;DERİ OSB MAH. VAKUM CAD. D-18 ÖZEL PARSEL NO: 6;İSTANBUL;TUZLA;(216) 3949089;;;İİB-GEMİ
BAREM GEMİ BAKIM ONARIM SAN. VE TİC. LTD. ŞTİ.;EVLİYA ÇELEBİ MAH. CÖMERT SOKAK TUZLA GEMİ YAN SANSİTESİ F BLOK NO 1/3;İSTANBUL;TUZLA;(216) 0000000;http://www.baremgemi.com;baremgemi.com;İİB-GEMİ
TERSAN TERSANECİLİK SAN.VE TİC.A.Ş;ACI CEŞME MEVKİİ BOGAZİÇİ CAD. NO:28;YALOVA;ALTINOVA;(226) 4656200;www.tersan.com.tr;tersan.com.tr;İİB-GEMİ
