firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
AN GIDA ÜRÜNLERİ ÜRETİM VE PAZARLAMA ANONİM ŞİRKETİ;BARBAROS HAYRETTIN PASA MAH.1058 SOK NO 38;İSTANBUL; ;6187080/5HAT;;;İİB-KURU MEYVE
MAPA KURUYEMİŞ GIDA İNŞ. SAN. VE TİC.A.Ş;2.OSB MAHALLESİ 6.CADDE NO:14 YEŞİLYURT/MALATYA;MALATYA;YEŞİLYURT;(422) 0000000;;;İİB-KURU MEYVE
ENKA PAZ.İHR.İTH.A.Ş.;İSTASYON MH.ARAPLAR CD.NO.6;İSTANBUL;TUZLA;02163951777;;;İİB-KURU MEYVE
EMS MOBIL SISTEMLER A.Ş.;1.ORG.SAN.BÖLGESİ KIRIM HANLIĞI CAD. NO:9 ;ANKARA;SİNCAN;(312) 2671867;www.ems.tc;ems.tc;İİB-KURU MEYVE
İSTANBUL GIDA DIŞ TİC. AŞ;KISIKLI MAH.FERAH CAD.NO:1;İSTANBUL;ÜSKÜDAR;(216) 5242789;www.ulker.com.tr;ulker.com.tr;İİB-KURU MEYVE
OPTİMUM DAN. VE DIŞ TİC. LTD. ŞTİ.;MERKEZ MAH.DEMİR SOK.BAŞARI SİT.NO:7/8;İSTANBUL;AVCILAR;(212) 0000000;;;İİB-KURU MEYVE
ALTERNA GIDA SAN.PAZ.VE TİC.A.Ş.;MURAT ÇEŞME MAH.E-5 LONDRA ASFALTI NUMARA:100/A;İSTANBUL;BÜYÜKÇEKMECE;(212) 2871012;;;İİB-KURU MEYVE
GOLD HARVEST KURUYEMİŞ GIDA VE TARIM ÜRÜN. SAN. VE TİC. A. Ş.;75. YIL MAH. KOBİ OSB. 107 CD.  NO: 3;ESKIŞEHIR;MERKEZ;(222) 2369171;;;İİB-KURU MEYVE
ŞÖLEN ÇİKOLATA GIDA SAN.VE TİC .A.Ş.;ORTAKÖY MAH. HARBİYE CAD. NO:33SİLİVRİ;İSTANBUL;SİLİVRİ;(212) 8675800;www.solen.com.tr;solen.com.tr;İİB-KURU MEYVE
FRUİTA GIDA SANAYİ ANONİM ŞİRKETİ;ÇAMLICA MAH. ANADOLU BUL. J.K BLOK NO: 20J İÇ KAPI NO:2;ANKARA;YENİMAHALLE;(312) 3121238;http://www.fruita.com.tr;fruita.com.tr;İİB-KURU MEYVE
ÜSTÜN PLASTİK AMBALAJ SAN.VE TİC.A.Ş.;ORG.SAN.BÖL.KAĞITHANE SAN.SİT.17.CD. NO:7;İSTANBUL;BAŞAKŞEHİR;(212) 4857676;www.ustunplastik.com;ustunplastik.com;İİB-KURU MEYVE
ORMO YÜN İPLİK SAN. VE TİC. AŞ;BAĞLAR CD.NO:14/B;İSTANBUL;KAĞITHANE;(212) 2514730;www.ormo.com.tr;ormo.com.tr;İİB-KURU MEYVE
HATİPOĞLU TARIM O.Ü.E.I.T.T.E. P.Ü.İ.İ.S.V.T.LTD.ŞTİ.;YENITOPTANCI SEBZE HALI NO:337;ANTALYA;MERKEZ;(224) 3395525;;;İİB-KURU MEYVE
ASB LOJİSTİK VE DIŞ TİCARET LİMİTED ŞİRKETİ;MAHMUTBEY MAH. TAŞOCAĞI YOLU CAD. AĞAOĞLU MY OFFİCE 212 NO:3 DAİRE:491 ;İSTANBUL;BAĞCILAR;(212) 5003515;;;İİB-KURU MEYVE
BERNUT GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ; YAKUPLU MAH. GÖÇMEN SK. NO: 1 İÇ KAPI NO: 165 B;İSTANBUL;BEYLİKDÜZÜ;(212) 0000000;;;İİB-KURU MEYVE
YILMAZER KARDEŞLER YER FISTIK SAN.TİC.PAZ.LTD.ŞTİ.;KUMARLI MAH.DEVLET HASTANESİ YOLUNO:9;OSMANIYE;MERKEZ;(328) 6333434;;;İİB-KURU MEYVE
ZİRVE ASKI VE PLASTİK SAN. TİC. LTD. ŞTİ;İKİTELLİ ORG SAN BÖL MAH. İPKAS SAN SİT 5 B BLOK 30-32;İSTANBUL;BAŞAKŞEHİR;(212) 5494699;;;İİB-KURU MEYVE
ÇELİKLER GROUP DIŞ TİCARET ANONİM ŞİRKETİ;ŞAHİNTEPE MAH.ŞEHİT POLİS FETHİ SEKİN CAD.İGTOT SİT. 12 BLOK NO:1V KAPI:Z01;İSTANBUL;BAŞAKŞEHİR;(212) 0000000;;;İİB-KURU MEYVE
ENKA İNŞ.VE SAN.A.Ş;BALMUMCU BESTEKAR ŞEVKİBEY SOKENKA 1 BİNASI;İSTANBUL;BEŞİKTAŞ;(212) 2742540;;;İİB-KURU MEYVE
EÇEREZ BİLİŞİM GIDA İTH..İHR. SAN VE TİC.LTD.ŞTİ;PINARTEPE MAH. AVRUPA CAD. C BLOKM 51 AB ;İSTANBUL;BÜYÜKÇEKMECE;(212) 8558510;;;İİB-KURU MEYVE
POLS GIDA DIŞ TİCARET A.Ş.;KAVAKLIDERE MAH. HAVUZLU SK. NO:4/2 ÇANKAYA ANKARA;ANKARA;ÇANKAYA;(312) 4170324;;;İİB-KURU MEYVE
İHSAR DIŞ TİCARET A.Ş.;ORGANİZE SAN.BÖLG.ESKİ EREĞLİ YOLU  ÜZERİ ;KARAMAN;KARAMAN;(338) 2241100;www.sarayholding.com.tr;sarayholding.com.tr;İİB-KURU MEYVE
AKDAĞLAR KURU GIDA İTH.İHR.SAN.TİC.LTD.ŞTİ.;BATTALGAZİ YOLU 4.KM NO:176/1;MALATYA;BATTALGAZİ;(422) 3810428;www.akdaglarexport.com;akdaglarexport.com;İİB-KURU MEYVE
AYDIN GIDA PAZARLAMA IMALAT SAN.VE TIC.A.Ş.;CEBECI MAH.ATATÜRK BULVARI2488 SOK.NO:36;İSTANBUL;GAZİOSMANPAŞA;(212) 5940078;;;İİB-KURU MEYVE
GRAMAS GIDA SANAYİ ANONİM ŞİRKETİ;GÜMÜŞYENİKÖY MH. ORTAKLAR O.S.B. 1000 CD.NO:5 ;AYDIN;GERMENCİK;(212) 2575656;www.gramasfood.com;gramasfood.com;İİB-KURU MEYVE
HAZER BABA GIDA SAN.IÇ VE DIŞ TIC. LTD.ŞTI.;KEMAL TÜRKLER MAH. SÜMER CAD.HANIMELİ SOK.NO:43;İSTANBUL;SANCAKTEPE;(216) 6222355;www.hazerbaba.com;hazerbaba.com;İİB-KURU MEYVE
OFİ TARIM SAN. VE TİC. A.Ş.;50.YIL MH.2743 SK.PEKTAŞ STATÜ N:19 K:5/15;MERSIN;YENİŞEHİR;(324) 3264234;www.progida.com.tr;progida.com.tr;İİB-KURU MEYVE
MERTER HELVA. SAN VE TIC. A.Ş.;AMBARLI KAVŞAĞI CİHANGİR MAH.ŞEHİT ZAFER SOKAK;İZMİR;Avcılar;;www.koska.com;koska.com;İİB-KURU MEYVE
KİBAR DIŞ TİCARET ANONİM ŞİRKETİ;TERSANE CAD. IŞIK İŞ MRKZ. NO:92 K:2-3-4;İSTANBUL;BEYOĞLU;(212) 2564970;www.kibarholding.com;kibarholding.com;İİB-KURU MEYVE
DEPAR GLOBAL İÇ VE DIŞ TİC.LTD.ŞTİ;ZAFER MAH. 185 SOK NO:11/1;İSTANBUL;ESENYURT;(212) 2506556;;;İİB-KURU MEYVE
ALPAY KURUYEMİŞ AKTARİYE GIDA İNŞ. SAN. TİC. LTD. ŞTİ.;KAHRAMAN SK. NO:22;KOCAELI;KARTEPE;(262) 3734232;www.alpaykuruyemis.com.tr;alpaykuruyemis.com.tr;İİB-KURU MEYVE
DURUKAN ŞEKERLEME SANAYİ VE TİC.A.Ş.;AHİ EVRANOSB MAH/SEMT DAĞISTAN CAD. NO:11 DAİRE:1 ;ANKARA;SİNCAN;(312) 2687171;www.durukan.com.tr;durukan.com.tr;İİB-KURU MEYVE
SKY HAZIR GİYİM SAN. VE DIŞ TİC. LTD. ŞTİ.;KEMALPAŞA MAH. GEÇTÜRK CAD. ÇUKURÇEŞME SOK NO:30;İSTANBUL;FATİH;(212) 5018871;;;İİB-KURU MEYVE
HKG ELEKTRONİK DIŞ TİC. LTD. ŞTİ.;DUMLUPINAR MAH. BARIŞ SOK. NO:7 B/150 KADIKÖY;İSTANBUL;KADIKÖY;;;;İİB-KURU MEYVE
AYDIN KURUYEMIŞ SANAYI VE TIC. AŞ.;CEBECİ MAH.ATATÜRK BULVARI2488 SOKAK NO:36;İSTANBUL;SULTANGAZİ;(212) 5940078;www.aydinkuruyemis.com.tr;aydinkuruyemis.com.tr;İİB-KURU MEYVE
SARAY BİSKÜVİ VE GIDA SAN.A.Ş.;ORGANİZE SAN.BÖLGESİ;KARAMAN;KARAMAN;(338) 2241100;www.sarayholding.com.tr;sarayholding.com.tr;İİB-KURU MEYVE
WASP GIDA VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;MİMAR SİNAN MAH.MİMAR SİNAN CAD.NO: 69E;KOCAELI;GEBZE;(262) 5034413;;;İİB-KURU MEYVE
TML İNŞAAT ANONİM ŞİRKETİ;ÇAVUŞBAŞI CAD. NO:33;İSTANBUL;BEYKOZ;216-4133339;;;İİB-KURU MEYVE
MAPEKS GIDA VE SANAYİ MAMULLERİ İHRACAT VE TİCARET ANONİM ŞİRKETİ;1139 SOK. N:2 YENIŞEHIR;İZMİR;ÇİĞLİ;212-2344135-234;;;İİB-KURU MEYVE
FATİH GLOBAL İÇ VE DIŞ TİC LTD ŞTİ;AKTAŞ MH KESTANE SK NO 40;SAKARYA;KOCAALİ;(264) 8528103;;;İİB-KURU MEYVE
EMİRGAN  İHTİYAÇ VE TÜKETİM MADD. İTH.İHR.SAN TİC.LTD.ŞTİ;GÜMRÜK İSKELE CAD. MEGACENTER APT 59/1;İSTANBUL;BAYRAMPAŞA;(212) 4970552;;;İİB-KURU MEYVE
TEMPO ŞEKERLEME SAN. VE TIC. LTD. ŞTI.;ÖMERLİ MAH .ADNAN KAHVECİ CAD. KOSKOP SANSİTESİ2.CAD.NO:5/A;İSTANBUL;ARNAVUTKÖY;(212) 7982535;www.tempocandy.com;tempocandy.com;İİB-KURU MEYVE
ERSA KURUYEMİŞ SAN.TİC.LTD.ŞTİ.;İKİTELLİ OSB MAH.SEFAKÖY 16.BLOK SK. SEFAKÖY SAN.16.BLOK NO:15 ;İSTANBUL;BAŞAKŞEHİR;(212) 5941918;;;İİB-KURU MEYVE
MISKOS DIS TICARET LIMITED SIRKETI;ÇOBANÇESME MAH. SANAYI CAD. NISH RESIDENCE D BLOK  NO: 44 D IÇ KAPI NO: 173;İSTANBUL;BAHÇELİEVLER;(212) 0000000;;;İİB-KURU MEYVE
GÜNEYDOĞU ANTEP FISTIKÇILIK   SAN.VE TIC.A.Ş;MARMARA KÜÇÜK SAN.SİTE.H BLOKNO:146;İSTANBUL;BAŞAKŞEHİR;(212) 4720218;www.guneydogugida.com;guneydogugida.com;İİB-KURU MEYVE
ELNUT DIŞ TICARET LTD.ŞTI.;KOCATEPE MAH.MEGA CENTERA BLOK NO:1844;İSTANBUL; ;(212) 4372278;;;İİB-KURU MEYVE
FELLAS GIDA VE SAĞLIK ÜRÜNLERİ SAN VE TİC.A.Ş;GİRNE MAH. IRMAKLAR SOK KÜÇÜKYALI İŞ MERK SİT.NO:72/9B/1 ;İSTANBUL;MALTEPE;(216) 3741064;;;İİB-KURU MEYVE
EUROASİA IMPEX GIDA VE DIŞ TİC.LTD.ŞTİ;KOCASİNAN MAH. KIZILELMA CAD. YILDIRIM SOK NO:12/2;İSTANBUL;BAHÇELİEVLER;;;;İİB-KURU MEYVE
GİDA İNTERNATİONAL GROUP ORGANİZASYON DIŞ TİC.A.Ş;ATİKALİ MAH YAVUZ SELİM CAD.ASYA  APT.BLOK :15 İÇ KAPI:1;İSTANBUL;FATİH;;;;İİB-KURU MEYVE
ÇEREZ KULÜBÜ KURUYEMİŞ VE GIDA SANAYİ TİCARET LİMİTED ŞİRKETİ;BARBAROS HAYRETTİN PAŞA MAHALLESİ 1075. SK. NO: 2 ;İSTANBUL;GAZİOSMANPAŞA;(212) 4383938;http://www.cerezkulubu.com.tr;cerezkulubu.com.tr;İİB-KURU MEYVE
APA KİMYA VE GIDA SAN.TİC.LTD.ŞTİ.;YENİŞEHİR MAH OSMANLI BULV.AYPORT SİTESİ B BLOK A GİRİŞİ NO:4 A/49;İSTANBUL;PENDİK;(216) 0000000;;;İİB-KURU MEYVE
OYAL ÇİKOLATA VE ŞEKERLİ MAMUL LER İMALAT TİC.VE SAN LTD.ŞTİ.;YENİBOSNA MH DEĞİRMENBAHÇE CD NO 28;İSTANBUL;BAHÇELİEVLER;(212) 4520158;www.oyalchocolate.com;oyalchocolate.com;İİB-KURU MEYVE
BGS BAŞARAN GIDA SAN VE DIŞ TİC LTD ŞTİ;MAHMUTBEY MH TAŞOCAĞI YOLU CDMY OFFICE NO 3/441;İSTANBUL;BAĞCILAR;(212) 5310002;;;İİB-KURU MEYVE
LİMAR KK KURUYEMİŞ TİC.LTD.ŞTİ.;HIRKAİ ŞERİF MAH. MÜTERCİM ASIM SOK HİLAL APT NO:14A;İSTANBUL;FATİH;(212) 0000000;;;İİB-KURU MEYVE
AYNEST FOOD PRODUCTS DIŞ TİC. A.Ş.;NAMIK KEMAL MAH. SÜTÇÜ İMAM CAD. NO:28-34İÇ KAPI:66;İSTANBUL;ÜMRANİYE;(216) 6295629;tr.aynest.com;tr.aynest.com;İİB-KURU MEYVE
İNTERPOLYMER PLASTİK LİMİTED ŞİRKETİ;KARAAĞAÇ OSB MH 19 SK NO 19/1;TEKIRDAĞ;KAPAKLI;(282) 0000000;www.intercup.com.tr;intercup.com.tr;İİB-KURU MEYVE
FRONA GIDA SANAYI TICARET LTD. STI;PETROLIS MH. VISNE SK NAHİT BEY APT NO:24/1;İSTANBUL;KARTAL;(216) 0000000;www.fronafoods.com;fronafoods.com;İİB-KURU MEYVE
YILMAZ PAZ.DAĞITIM HIZMETLERI VE INŞAAT SAN.LTD.ŞTI.;AMBARLI DOLUM TESİSLERİ YOLUŞEHİT P.ER YAVUZ BAHAR SK.NO:2;İSTANBUL; ;;www.yilmazpazarlama.com;yilmazpazarlama.com;İİB-KURU MEYVE
