firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
OFİ TARIM SAN. VE TİC. A.Ş.;50.YIL MH.2743 SK.PEKTAŞ STATÜ N:19 K:5/15;MERSIN;YENİŞEHİR;(324) 3264234;www.progida.com.tr;progida.com.tr;İİB-KURU MEYVE
MERTER HELVA. SAN VE TIC. A.Ş.;AMBARLI KAVŞAĞI CİHANGİR MAH.ŞEHİT ZAFER SOKAK;İZMİR;Avcılar;;www.koska.com;koska.com;İİB-KURU MEYVE
KİBAR DIŞ TİCARET ANONİM ŞİRKETİ;TERSANE CAD. IŞIK İŞ MRKZ. NO:92 K:2-3-4;İSTANBUL;BEYOĞLU;(212) 2564970;www.kibarholding.com;kibarholding.com;İİB-KURU MEYVE
ALPAY KURUYEMİŞ AKTARİYE GIDA İNŞ. SAN. TİC. LTD. ŞTİ.;KAHRAMAN SK. NO:22;KOCAELI;KARTEPE;(262) 3734232;www.alpaykuruyemis.com.tr;alpaykuruyemis.com.tr;İİB-KURU MEYVE
DURUKAN ŞEKERLEME SANAYİ VE TİC.A.Ş.;AHİ EVRANOSB MAH/SEMT DAĞISTAN CAD. NO:11 DAİRE:1 ;ANKARA;SİNCAN;(312) 2687171;www.durukan.com.tr;durukan.com.tr;İİB-KURU MEYVE
AYDIN KURUYEMIŞ SANAYI VE TIC. AŞ.;CEBECİ MAH.ATATÜRK BULVARI2488 SOKAK NO:36;İSTANBUL;SULTANGAZİ;(212) 5940078;www.aydinkuruyemis.com.tr;aydinkuruyemis.com.tr;İİB-KURU MEYVE
SARAY BİSKÜVİ VE GIDA SAN.A.Ş.;ORGANİZE SAN.BÖLGESİ;KARAMAN;KARAMAN;(338) 2241100;www.sarayholding.com.tr;sarayholding.com.tr;İİB-KURU MEYVE
TEMPO ŞEKERLEME SAN. VE TIC. LTD. ŞTI.;ÖMERLİ MAH .ADNAN KAHVECİ CAD. KOSKOP SANSİTESİ2.CAD.NO:5/A;İSTANBUL;ARNAVUTKÖY;(212) 7982535;www.tempocandy.com;tempocandy.com;İİB-KURU MEYVE
GÜNEYDOĞU ANTEP FISTIKÇILIK   SAN.VE TIC.A.Ş;MARMARA KÜÇÜK SAN.SİTE.H BLOKNO:146;İSTANBUL;BAŞAKŞEHİR;(212) 4720218;www.guneydogugida.com;guneydogugida.com;İİB-KURU MEYVE
ÇEREZ KULÜBÜ KURUYEMİŞ VE GIDA SANAYİ TİCARET LİMİTED ŞİRKETİ;BARBAROS HAYRETTİN PAŞA MAHALLESİ 1075. SK. NO: 2 ;İSTANBUL;GAZİOSMANPAŞA;(212) 4383938;http://www.cerezkulubu.com.tr;cerezkulubu.com.tr;İİB-KURU MEYVE
OYAL ÇİKOLATA VE ŞEKERLİ MAMUL LER İMALAT TİC.VE SAN LTD.ŞTİ.;YENİBOSNA MH DEĞİRMENBAHÇE CD NO 28;İSTANBUL;BAHÇELİEVLER;(212) 4520158;www.oyalchocolate.com;oyalchocolate.com;İİB-KURU MEYVE
AYNEST FOOD PRODUCTS DIŞ TİC. A.Ş.;NAMIK KEMAL MAH. SÜTÇÜ İMAM CAD. NO:28-34İÇ KAPI:66;İSTANBUL;ÜMRANİYE;(216) 6295629;tr.aynest.com;tr.aynest.com;İİB-KURU MEYVE
İNTERPOLYMER PLASTİK LİMİTED ŞİRKETİ;KARAAĞAÇ OSB MH 19 SK NO 19/1;TEKIRDAĞ;KAPAKLI;(282) 0000000;www.intercup.com.tr;intercup.com.tr;İİB-KURU MEYVE
FRONA GIDA SANAYI TICARET LTD. STI;PETROLIS MH. VISNE SK NAHİT BEY APT NO:24/1;İSTANBUL;KARTAL;(216) 0000000;www.fronafoods.com;fronafoods.com;İİB-KURU MEYVE
YILMAZ PAZ.DAĞITIM HIZMETLERI VE INŞAAT SAN.LTD.ŞTI.;AMBARLI DOLUM TESİSLERİ YOLUŞEHİT P.ER YAVUZ BAHAR SK.NO:2;İSTANBUL; ;;www.yilmazpazarlama.com;yilmazpazarlama.com;İİB-KURU MEYVE
EKMEKÇIOĞLU GIDA VE KURUYEMIŞ SAN. TIC. A.Ş;ADNAN KAHVECİ MAH.AVRUPA CAD.NO:72;İSTANBUL;BEYLİKDÜZÜ;(212) 8559595;www.ekmekcioglu.com.tr;ekmekcioglu.com.tr;İİB-KURU MEYVE
MESA İÇ VE DIŞ TİC.LTD.ŞTİ;YEŞİLBAYIR MAHALLESİ 29 MAYIS CAD. NO: 19 A/1;İSTANBUL;ARNAVUTKÖY;(212) 8861508;www.mesagida.com;mesagida.com;İİB-KURU MEYVE
GEN ERA DİAGNOSTİK SAĞLIK HİZMETLERİ ANONİM ŞİRKETİ;BARBAROS MAH. ÇİĞDEM SOK NO:1 D:19 MY OFFİCE İŞ MERK.BATI ATAŞEHİR;İSTANBUL;ATAŞEHİR;(216) 4555822;www.gen-era.com.tr;gen-era.com.tr;İİB-KURU MEYVE
PEYMAN KURUYEMIŞ GIDA AKTARIYE KIM.MAD.TAR.ÜRN.SAN.VE TIC.A.Ş;KAZIMDİRİK MH. 282/1 SK.NO:6 K:1 D:101;İZMİR;BORNOVA;(232) 4722204;www.peyman.com.tr;peyman.com.tr;İİB-KURU MEYVE
URGANCI GIDA TURİZM İNŞAAT SAN. VE DIŞ TİC. LTD. ŞTİ.;BAŞAKŞEHİR İKİTELLİ OSB MAH.ÇORAPÇILAR C BLOK  SOK: 17-18 ;İSTANBUL;BAŞAKŞEHİR;(212) 4858090;www.urganci.com.tr;urganci.com.tr;İİB-KURU MEYVE
EREKS IHR. ITH. VE TIC. A.Ş.;BAĞDAT CAD. KÜÇÜAĞA SK. IFFETAPT. NO:2/1 D:3.ŞAŞKINBAKKAL MEVKİİ;İSTANBUL;KADIKÖY;(216) 3639500;www.ereks.com.tr;ereks.com.tr;İİB-KURU MEYVE
TADSER GIDA MAD. İNŞ. SAN. VE TİC. A.Ş.;FİRUZKÖY MAHALLESİ KAZIM KARABEKİR CADDESİ NO:20 ;İSTANBUL;AVCILAR;(212) 4230983; http://www.tadser.com.tr ;tadser.com.tr;İİB-KURU MEYVE
ŞENKARDEŞ GIDA SAN. VE TİC. LTD. ŞTİ.;HANLIKÖY MAH. ESKİŞEHİR CD. NO:123;SAKARYA;ARİFİYE;(264) 2764760;www.senkardes.com.tr;senkardes.com.tr;İİB-KURU MEYVE
DORA DOĞAL  ÜRÜNL.GIDA SAN.VE DIŞ TİC. LTD. ŞTI;FİRÜZKÖY MAH. MEZARLIK ÜSTÜ CAD. NO:32 K:2 AVCILAR / İSTANBUL;İSTANBUL;AVCILAR;(212) 5930327;www.doralife.com;doralife.com;İİB-KURU MEYVE
MALATYA PAZARI KURUYEMIŞCILIK  SAN VE TİC. A.Ş.;E-5 KARAYOLU ÜZERI CEYLAN ÇIFTLİĞİMEVKII MIMAR SINAN BELDESI;İSTANBUL;BÜYÜKÇEKMECE;(212) 8630933;www.malatyapazari.com.tr;malatyapazari.com.tr;İİB-KURU MEYVE
HAMDARD İLAÇ SAN. VE TİC .LTD. ŞTİ.;MERKEZ MAH.AYAZMA CAD.PAPIRUS PLAZA NO:37 İÇ KAPI:179;İSTANBUL;KAĞITHANE;(212) 6303049;www.hamdard.com.tr;hamdard.com.tr;İİB-KURU MEYVE
TURKİANA TURİZM SAN.VE DIŞ TİC.LTD.ŞTİ.;BEYAZIT MAH.KALPAKÇILARBAŞI SOKAK NUMARA:109/1;İSTANBUL;FATİH;(212) 2198941;www.turkiana.com.tr;turkiana.com.tr;İİB-KURU MEYVE
ALTINİŞ ÇELİK EŞYA SAN. VE TİC. LTD.ŞTİ.;COBANÇEŞME MAH.GÜNEŞLI SK.NO 5;İSTANBUL; ;02125511839;www.altinis.com;altinis.com;İİB-KURU MEYVE
EMEKÇİOĞLU GIDA TUZ KİM. PAZ. TAŞ. TİC. VE SAN. AŞ;MAHMUTBEY MAH. 8.SOKAK NO:25/A;İSTANBUL;BAĞCILAR;(212) 4453324;www.papagan.com.tr;papagan.com.tr;İİB-KURU MEYVE
FERPA ENERJİ VE  GIDA SAN.IHR.ITH.LTD.ŞTI;BAKIR VE PIRINÇ SANAYI  SIT.SARDUNYA CD. N:2;İSTANBUL;BEYLİKDÜZÜ;(212) 8753173;www.ferpagida.com;ferpagida.com;İİB-KURU MEYVE
LOKMAS GIDA TİCARET LTD.ŞTİ;YEŞİLKÖY MAH. ATATÜRK CAD. EGS BLOKLARI SİTESİ B-2 APT-  APT 12/1 ;İSTANBUL;BAKIRKÖY;(212) 7097507;www.lokmas.com;lokmas.com;İİB-KURU MEYVE
MUMCU KURUYEMİŞLERİ GIDA SAN TİC LTD ŞTİ;15 TEMMUZ MH İSTİKLAL CD 1488 SK NO 23;İSTANBUL;BAĞCILAR;(212) 5505600;www.mumcu.com.tr;mumcu.com.tr;İİB-KURU MEYVE
DESTAN DIŞ TIC.VE GIDA SAN.LTD .ŞTI.;ATATÜRK MAH.MARMARA SANAYISITESI  D BLOK NO:73;İSTANBUL;KÜÇÜKÇEKMECE;(212) 4944676;www.sukurkuruyemis.com;sukurkuruyemis.com;İİB-KURU MEYVE
ARMADA TARIM SANAYI VE TICARET ANONIM SIRKETI;FULYA MAH UYGAR SOK. 16/15 ŞİŞLİ;İSTANBUL;ŞİŞLİ;(212) 2029916;www.armadagrup.com;armadagrup.com;İİB-KURU MEYVE
KARIN GIDA SAN. VE TIC. A.Ş.;ÇEVRİK MAH. ŞEHİT MESUT KIROĞLU CAD. NO:60/1-A-B ;DÜZCE;CUMAYERİ;+(212) 2199784;www.karinnuts.com;karinnuts.com;İİB-KURU MEYVE
UMUTTEM TEM. MALZ. VE HİZ. GÜV. SİS. GIDA PLAS. KAĞIT SAN. T.C. LTD. ŞTİ.;İSTOÇ ÇARŞISI 13. ADA NO:19;İSTANBUL;BAĞCILAR;(212) 6590297;www.umuttem.com.tr;umuttem.com.tr;İİB-KURU MEYVE
AKÇALI AGRO GIDA  SAN.VE TİC.LTD.ŞTİ;MERKEZ ÇÖKEKLER KÖYÜ;SAKARYA;ADAPAZARI;(264) 3793078;www.akcalitarim.com;akcalitarim.com;İİB-KURU MEYVE
SAYINLAR GIDA SAN.İTH. İHR. VE TİC.LTD.ŞTİ.;BÜYÜK ŞIRE PAZARI 5.BLK.NO:22;MALATYA;MERKEZ;(422) 3221410;www.sayinlargida.com;sayinlargida.com;İİB-KURU MEYVE
VS ANDROS TARIM GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;GÜMÜŞYENİKÖY MAH. ORTAKLAR OSB 1000.CADDE  NO:34 GERMENCİK  . ;AYDIN;GERMENCİK;(256) 5771003;www.vsanadolu.com;vsanadolu.com;İİB-KURU MEYVE
GURME212 PAZARLAMA ANONİM ŞİRKETİ;KAYALIOĞLU MAH. 2. CADDE ZEYNEL ABİDİN AKTAN SİTESİ  ZEYNEL ABİDİN AKTAN APT NO:10-12B;MANISA;AKHİSAR;(216) 4999301;www.gurme212.com;gurme212.com;İİB-KURU MEYVE
ATİYE LAÇİN GIDA TURİZM SAN. VE TİC.LTD.ŞTİ.;BURSA YOLU 7.KM ORG.SAN.BÖL.MEVKİİ 4.CD.NO:9;ÇANAKKALE;MERKEZ;(286) 5661219;www.atiyelacin.com;atiyelacin.com;İİB-KURU MEYVE
HAUS GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ;ÇİFTEHAVUZLAR MAH. ESKİLONDRAASFALTI CAD. D2 BLOK;İSTANBUL;ESENLER;(212) 0000000;http://www.thesnackhaus.com;thesnackhaus.com;İİB-KURU MEYVE
PRIAPOS DIŞ TİCARET LİMİTED ŞİRKETİ;ESENTEPE MAH. KORE ŞEHİTLERİ CAD. RENK APARTMANINO:24 İÇ KAPI NO:7;İSTANBUL;ŞİŞLİ;(212) 6556543;http://www.priaposcompany.com;priaposcompany.com;İİB-KURU MEYVE
B.B TEKSTIL GIDA SAN.IÇ VE DIŞ TIC.A.Ş.;ÇOBANÇEŞME KALENDER SOK.NO:23/C;İSTANBUL;BAHÇELİEVLER;(212) 6394896;www.sim.net.tr;sim.net.tr;İİB-KURU MEYVE
ROMES MAKİNE MÜHENDİSLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;ALAADDİNBEY MAH. 624. SK. NO:5 C ;BURSA;NİLÜFER;(224) 4436797;www.senoz.com.tr;senoz.com.tr;İİB-KURU MEYVE
