firma_adi;adres;telefon;website;domain;birlik
TAN-ALİZE KOZMETİK VE TEMİZLİK ÜRÜNLERİ SAN. VE TİC. A.Ş.;;;www.farmasi.com.tr;farmasi.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
CONTİTECH LASTİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.contitech.com.tr;contitech.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
POLİYA POLİESTER SAN. VE TİC. A.Ş.;;;www.poliya.com;poliya.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SUN CHEMİCAL MATBAA MÜREKKEPLERİ VE GEREÇLERİ SAN.TİC.A.Ş.;;;www.sunchemical.com;sunchemical.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
COLGATE PALMOLİVE TEMİZLİK ÜRÜNLERİ SAN.VE TİC. A.Ş.;;;www.colgate.com.tr;colgate.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
ERDOĞMUŞ PARFÜM DIŞ TİCARET VE SANAYİ ANONİM ŞİRKETİ;;;www.erdogmusparfum.com;erdogmusparfum.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
KOSAN KOZMETIK PAZARLAMA VE TICARET ANONİM ŞİRKETİ;;;www.flormar.com;flormar.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
GÜLÇİÇEK KİMYA VE UÇAN YAĞLAR SAN. VE TİC. A.Ş.;;;www.gulcicek.com;gulcicek.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
TOROS TARIM SAN. VE TIC. A.Ş.;;;www.toros.com.tr;toros.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
RİVA TOZ BOYA SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.pulver.com.tr;pulver.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
BASF TÜRK KİMYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;;;www.basf.com.tr;basf.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
VATAN PLASTİK SAN.VE TİC.A.Ş;;;www.vatanplastik.com;vatanplastik.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
NOVARTİS SAĞLIK GIDA VE TARIM ÜRÜNLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;;;www.novartis.com;novartis.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SETAŞ KİMYA SANAYİ A.Ş.;;;www.setas.com.tr;setas.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
EVYAP İNTERNATIONAL DIŞ TİC. A.Ş.;;;www.evyap.com.tr;evyap.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
SIEGWERK BASKI MUREKKEPLERI SANAYİ VE TICARET ANONİM ŞİRKETİ;;;www.siegwerk.com;siegwerk.com;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
PROCTER & GAMBLE TÜKETİM MALLARI SANAYİ ANONİM ŞİRKETİ;;;www.pg.com.tr;pg.com.tr;İKMİB - İstanbul Kimyevi Maddeler ve Mamulleri İhracatçıları Birliği
