firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
DEMARS LOJİSTİK DEPOLAMA VE DIŞ TİCARET LİMİTED ŞİRKETİ;KÜÇÜKBAKKALKÖY MAH.NARTANESİ SK. B BLOK NO: 1/1 İÇKAPI NO:1;İSTANBUL;ATAŞEHİR;(216) 5740660;http://www.demarslojistik.com.tr;demarslojistik.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
SARAL TURZ.INŞ.MOB.DEK.LTD.ŞTI;KUŞTEPE MAH. İNÖNÜ CAD. NO:127/A/01;İSTANBUL;ŞİŞLİ;(212) 2113247;www.saralmobilya.com.tr;saralmobilya.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
MESSER ORMAN ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;"GEÇKİNLİ KÖYÜ , NO:69 SÜLOĞLU";EDIRNE;SÜLEOĞLU(SÜLOĞLU);(284) 0000000;http://www.messer.com.tr;messer.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
TÜMSAŞ TEKNOLOJİK ENDÜST.BİLG. ÜRÜN MUH.VE PAZ.A.Ş.;KOZYATAĞI MH. BAYAR CD.NO:109;İSTANBUL;KADIKÖY;(216) 5718787;www.tumsas.com.tr;tumsas.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
ALFA GRAF KAĞIT TIC.VE SAN.A.Ş;KARTALTEPE MAH.MALAZGİRT CAD. SERÇE SOK.NO.8/18 ;İSTANBUL;KÜÇÜKÇEKMECE;(212) 4251675;http://www.alfagraf.com.tr;alfagraf.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
STELLA MOBILYA SAN.VE TIC.LTD. ŞTI.;Y.DUDULLU MODOKO SAN.SITESI5.CAD.NO:197;İSTANBUL;ÜMRANİYE;(216) 3642154;www.stellamobilya.com;stellamobilya.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
A4 OFSET MATBAACILIK SAN.VE TIC. A.Ş;YESILCE MAH.DONANMA SOK. NO.16/3;İSTANBUL;KAĞITHANE;(212) 2816448;www.a4ofset.com;a4ofset.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
KULP OFİS SİSTEMLERİ İNŞAAT TAAHHÜT SANAYİ VE TİCARET A.Ş;ERTUĞRUL MAH. İZMİR YOLU CAD. NO: 356C;BURSA;NİLÜFER;(224) 4130881;http://www.masachibursa.com.tr;masachibursa.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
GÜRSOY AHŞAP ÜRNL. PAZ. IMALAT ITH. IHR. SAN. TIC. LTD. ŞTI.;BOSTANYERI (ARAPÇIFTLIĞI) KÖYÜ;DÜZCE;MERKEZ;(380) 5261050;www.gursoyahsap.com.tr;gursoyahsap.com.tr;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
OKUMUŞ ORMAN ÜRÜNL.SAN.VE TİC.LTD.ŞTİ;OSMANGAZİ MAH.BİLALİ HABEŞİ CAD.NO:2;İSTANBUL;SANCAKTEPE;(216) 3114042;www.okumusorman.com;okumusorman.com;İİB-MOB.KAĞIT VE ORMAN İHR.BRL.
