firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
PLATİNUM MARİN SERVİS DENİZCİLİK SAN.VE TİC.A.Ş.;İSTASYON CADDESİ HIRKALILAR APT. NO:103B İSTASYON MAHALLESİ ;İSTANBUL;TUZLA;(216) 4464639;www.platinum-ms.com;platinum-ms.com;İİB-GEMİ
ONURSAN GEMİ İNŞA ONARIM VE TİCARET LİMİTED ŞİRKETİ; AYDINLI BİRLİK OSB MAHALLESİ 2.SOKAK NO:4 ;İSTANBUL;TUZLA;(216) 3958780;http://www.onursan.net;onursan.net;İİB-GEMİ
TURMAR SORVEY MUSAVIRLIK VE DENIZ TICARET A.S.;İNÖNÜ CAD.TURABOĞLU SK. NO:4/3;İSTANBUL;KADIKÖY;(216) 4114575;www.turmarmarine.com;turmarmarine.com;İİB-GEMİ
GEPA FİBERGLAS SAN.VE TİC.A.Ş;HARMANDALI SOKAK NO:10 AYDINTEPE;İSTANBUL;TUZLA;(216) 3929396;www.gepafiberglass.com;gepafiberglass.com;İİB-GEMİ
AKSİS YANGIN SÖNDÜRME SİS.A.Ş;İST.DERİ ORG.SAN.BÖLG.ASORT SOK.NO:1 XVII-23 ÖZEL PARSEL;İSTANBUL;TUZLA;(216) 3068216;www.aksismak.com.tr;aksismak.com.tr;İİB-GEMİ
ARES TERSANECİLİK SANAYİ VE TİCARET A. Ş.;LİMAN MH. AKDENİZ BULVARI AZİZE KAHRAMAN SİT.NO:258/B;ANTALYA;KONYAALTI;(242) 2616161;www.ares.global;ares.global;İİB-GEMİ
SANMAR DENİZCİLİK MAKİNA VE TİC.A.Ş.;GÜZİN SOKAK NO:31;İSTANBUL;TUZLA;(216) 4585900;www.sanmar.com.tr;sanmar.com.tr;İİB-GEMİ
COSMO YAT VE DENİZCİLİK TİCARET LTD.ŞTİ.;EVLİYA ÇELEBİ MAH.MAVİ SOK.NO:14A;İSTANBUL;TUZLA;(216) 7011165;www.cosmoyacht.com;cosmoyacht.com;İİB-GEMİ
YONCA TEKNİK YATIRIM TURİZM SAN. VE TİC. A.Ş.;AYDINTEPE MAH.YAKUT SOK.NO:17;İSTANBUL;TUZLA;(216) 3929970;www.yonca-onuk.com;yonca-onuk.com;İİB-GEMİ
ARPPLUS OTOMOBİL AKSESUARLARI VE YEDEK PARÇA PLASTİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;KARADENİZLİLER MAH. TÜRKKAN SK. NO:21/1;KOCAELI;BAŞİSKELE;(262) 3350454;www.aqm4wd.com;aqm4wd.com;İİB-GEMİ
PAS DİJİTAL BASKI TEKNOLOJİLERİ DIŞ TİC.A.Ş.;ORUÇREİS MAH.GİYİMKENT SİT. 19.SOK. N:59/A;İSTANBUL;ESENLER;(212) 4385141;www.passdijital.com;passdijital.com;İİB-GEMİ
KURTEK GEMİ MAKİNA SAĞLIK HİZM.SAN.VE TİC.LTD.ŞTİ;BUTTİM İŞ MERK.B-5 NO:1416;BURSA;OSMANGAZİ;(224) 2114495;www.kurtek.com.tr;kurtek.com.tr;İİB-GEMİ
HALİL ZAFER BÜYÜKEVREN - VESCON DENİZCİLİK VE DANIŞMANLIK;İSTASYON MAH.İSTASYON CAD.ORMET SİTESİ C BLOK D:4;İSTANBUL;TUZLA;(216) 3954978;www.vesconshipping.com;vesconshipping.com;İİB-GEMİ
CCM MOTORLU ARAÇ SAN. VE DIŞ TİC. LTD. ŞTİ.;BAĞDAT CD. NO 158/C FENERYOLU;İSTANBUL;KADIKÖY;(216) 4082121;www.caddeconcept.com;caddeconcept.com;İİB-GEMİ
ERDAL ÇORAP SAN. VE TİC. AŞ;BAKIR VE PİNÇÇİLER SAN SİT.MENEKŞE CAD NO:12 BEYLİKDÜZÜ;İSTANBUL;BEYLİKDÜZÜ;(212) 8753490;www.erdalcorap.com;erdalcorap.com;İİB-GEMİ
SEDEF GEMI INŞ.A.Ş.;TERSANELER YOLU NO:14;İSTANBUL;TUZLA;(216) 5817700;www.kalkavanshipyard.com;kalkavanshipyard.com;İİB-GEMİ
ALESTAVİRA DENİZCİLİK TURİZM TİC.LTD.ŞTİ.;RECEP PAKER CAD.REŞİTPAŞA SOKAK ÖNAL APT. NO:8/2;İSTANBUL;KADIKÖY;(216) 3385747;www.alestavira.com;alestavira.com;İİB-GEMİ
ARMONA DENİZCİLİK A.Ş.;TAKKECI SOK.NO:3;İSTANBUL;BEŞİKTAŞ;02122872780;www.armonadenizcilik.com;armonadenizcilik.com;İİB-GEMİ
ARGEMAR HİDROLİK PNÖMATİK MARİNA OTOMASYON İMALAT FABRİKA MALZEME SANAYİ TİCARET İTH.İHR.L TD;TAŞYAKA MAH. 253 (TSY) SK. NO: 17 ;MUĞLA;FETHİYE;(252) 6129594;https://argemar.com.tr/;argemar.com.tr;İİB-GEMİ
VENCOTEK İKLİMLENDİRME SAN.VE TİC.A.Ş;AYDINTEPE MAH. GÜZİN SOK GEMDOK SAN SİT A BLOK APTNO:17/A-1;İSTANBUL;TUZLA;(216) 3922444;www.vencotek.com;vencotek.com;İİB-GEMİ
SİRMAR DENİZCİLİK SANAYİ VE TİCARET A.Ş.;ÇELTİKÇİ KÖYÜ HAMYERİ MEVKİİ;BURSA;ORHANGAZİ;(224) 2757600;www.azimutyachts.com;azimutyachts.com;İİB-GEMİ
BİLGEM MÜH.DANŞ.BİLGİSAYAR DEN.TURZ.TİC.VE SAN.LTD.ŞTİ.;TMO YANI BÜYÜKLİMAN;ANTALYA;MERKEZ;(242) 2594126;www.navarchs.com ;navarchs.com;İİB-GEMİ
ALESTA VALF VE MALZ.SAN VE TİC.LTD.ŞTİ;EVLİYA ÇELEBİ MAH. RAUF ORBAY CAD. EBE SOK NO:3/D;İSTANBUL;TUZLA;(216) 4461255;www.alestagemi.com;alestagemi.com;İİB-GEMİ
EZBERCI MARINE DENIZCILIK MUH.TUR.TAAH.LTD.STI.;İSTANBUL DERİ ORG. YAN SAN. BÖL. YB-4 PARSEL ;İSTANBUL;TUZLA;(216) 5910790;www.ezbercimarine.com;ezbercimarine.com;İİB-GEMİ
SVS SHIP REPAIR GEMİ İNŞA SANAYİ TİCARET ANONİM ŞİRKETİ;POSTANE MAH. PALMİYE SK. NO: 13;İSTANBUL;TUZLA;(216) 4940003;https://svsshiprepair.com/;svsshiprepair.com;İİB-GEMİ
AKDENİZ GEMİ İNŞAA SAN VE TİC. A.Ş;YUMURTALIK SERBEST BÖLGESİ ;ADANA;CEYHAN;(322) 6342225;www.akdenizshipyard.com;akdenizshipyard.com;İİB-GEMİ
DESAN DENIZ INSAAT SANAYI A.S.;EVLİYA ÇELEBİ MAHALLESİ TERSANELER CADDESİ NO:36;İSTANBUL;TUZLA;(216) 3952925;www.desan-shipyard.com;desan-shipyard.com;İİB-GEMİ
BLUVEN KÜRESEL GEMİ TEDARİK SANAYİ TİCARET ANONİM ŞİRKETİ;POSTANE MAH. HACILAR CAD. 52/C;İSTANBUL;TUZLA;(216) 6063435;www.bluvensupply.com;bluvensupply.com;İİB-GEMİ
SHİP STORE MÜH.VE TİC.LTD.ŞTİ.;EVLİYA ÇELEBİ MAH. PELİKAN SOK  D:1 NO:8 KAPI NO:24 ;İSTANBUL;TUZLA;(216) 3952121;www.ship-store.com;ship-store.com;İİB-GEMİ
İMPALA DENİZCİLİK DIŞ TİCARET LİMİTED ŞİRKETİ; YAYLA MAH. İLHAM SK. NO: 3A;İSTANBUL;TUZLA;(216) 0000000;impalasupply.com/;impalasupply.com;İİB-GEMİ
SEFİNE DENİZCİLİK TERSANECİLİK TURİZM SAN. VE TİC. A.Ş.;HERSEK KÖYÜ KUMLUK MEVKII;YALOVA; ;(226) 4612617;www.sefine.com.tr;sefine.com.tr;İİB-GEMİ
ORHAN CEYLAN - CEYLAN YAT;BALÇIK MAH.SUDE SOKAK NUMARA:8/A;KOCAELI;GEBZE;(216) 5537828;www.ceylanyat.com;ceylanyat.com;İİB-GEMİ
BAYRAKTAR DENİZCİLİK VE TİC. A.Ş.;EGİTİM MAH.KASAP İSMAİL SOK SADIKOĞLU PLAZA5 K:3 D:78;İSTANBUL;KADIKÖY;(216) 3488322;www.bayraktar.net;bayraktar.net;İİB-GEMİ
CEMRE MARİN ENDÜSTRİ A.Ş;HERSEK KÖYÜ 6/1 PAFTA 682 PARSEL ;YALOVA;ALTINOVA;(226) 4613005;www.cemremarine.com;cemremarine.com;İİB-GEMİ
VİSİONF YATÇILIK A.Ş;YENİŞEHİR MAH. DEDEPAŞA CAD. OTEL AVM + FUAR NO: 15 İÇ KAPI NO:200;İSTANBUL;PENDİK;(216) 6961001; www.visionf.com ;visionf.com;İİB-GEMİ
OPTİTUR MARİN DENİZCİLİK SAN. VE TİC. LTD. ŞTİ.;DERİ O.S.B. MAH. ETLEME SOK. NO:2/21-8;İSTANBUL;TUZLA;;www.opti-tur.com;opti-tur.com;İİB-GEMİ
