firma_adi;adres;telefon;website;domain;birlik
AHLATÇI KUYUMCULUK SANAYİ VE TİCARET ANONİM ŞİRKETİ;GÜLALİBEY MH EĞRİDERE SK N:17 ÇORUM ÇORUM;(364) 4440186;www.ahlatci.com.tr;ahlatci.com.tr;JTR - Mücevher İhracatçıları Birliği
AHLATÇI METAL RAFİNERİ A.Ş.;PINARÇAY OSB MAH. ORGANİZE SANAYİ 1.CAD MERKEZ ÇORUM;(364) 4440186;;;JTR - Mücevher İhracatçıları Birliği
AHMET BERTUG TOKMAK;SÜLEYMANIYE MAH. UZUNÇARSI CAD.TAMBURACI VE GÖRENLNO: 187/2F FATİH İSTANBUL;(212) 5798249;;;JTR - Mücevher İhracatçıları Birliği
AHMET ÇELİK;BİNBİRDİREK MAH. BOYACI AHMET SOK.NO:14 K:3 FATİH İSTANBUL;;;;JTR - Mücevher İhracatçıları Birliği
AHMET YÜREGİLLİ;SAHABIYE MAH. YERALTI ÇARSISI KÜME EVLER NO: 1 IÇ KAPI NO: 116 KOCASİNAN KAYSERİ;;;;JTR - Mücevher İhracatçıları Birliği
AIDA BERGSEN TAKI VE EL SANATLARI ÜRETİMİ LTD. ŞTİ.;EMİN SİNAN MAH. TAŞDİREK ÇEŞMESİALTUNBUKEN PASAJI N:6/54 FATİH İSTANBUL;(212) 2313624;www.aidabergsen.com;aidabergsen.com;JTR - Mücevher İhracatçıları Birliği
AİZONA KIYMETLİ MADENLER ANONİM ŞİRKETİ;FULYA MAH. BÜYÜKDERE CAD. TORUN CENTERD BLOK NO: 74D İÇ KAPI NO: 41 ŞİŞLİ İSTANBUL;(212) 0000000;;;JTR - Mücevher İhracatçıları Birliği
AKAD KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YENİBOSNA MERKEZ MAH. LADİN SK.KUYUMCUKENTBLOK NO: 4 İÇ KAPI NO: 2238 BAHÇELİEVLER İSTANBUL;(212) 0000000;;;JTR - Mücevher İhracatçıları Birliği
AKARSU KUYUMCULUK MAKİNA SAN. VE TİC.LTD.ŞTİ.;YENIBOSNA MERKEZ MAH/SEMT KUYUMCULAR SK. 4 0507 +DEPO BAHÇELIEVLER BAHÇELİEVLER İSTANBUL;(212) 5133803;;;JTR - Mücevher İhracatçıları Birliği
AKBAY TEKNİK HIRDAVAT PAZARLAMA VE DIŞ TİC. LTD. ŞTİ.;TOZKOPARAN MH GENERAL ALİ RIZA GÜRCAN CD ALPARSLAN İS MERK A BLOKNO:29/11 GÜNGÖREN İSTANBUL;(212) 6505555;www.akbayteknikhirdavat.com;akbayteknikhirdavat.com;JTR - Mücevher İhracatçıları Birliği
AKBEN KUYUMCULUK SANAYİ VE TİCARET A.Ş.;KURTULUŞ MAH. ŞEYH ADİL CAD.AYNALIHAN NO:2/1 DULKADİROĞLU KAHRAMANMARAŞ;(344) 2211650;;;JTR - Mücevher İhracatçıları Birliği
AKDEMİR KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;KUYUMCUKENT ATOLYECİLER BLOGU 1 KOYALTİ MEVKİİ 6. SOKAK, K:2-10 YENİBOSNA BAHÇELİEVLER İSTANBUL;(212) 6031969;www.akdemirgold.com;akdemirgold.com;JTR - Mücevher İhracatçıları Birliği
AKDOLU KUYUMC.TUR.TES.ISL.TUR. ESYA PAZ.VE LTD.STI.;ÇARŞI MAH. DR. ALİMBEY CAD.NO.13/C BODRUM MUĞLA;(252) 3193315;www.ara24k.com;ara24k.com;JTR - Mücevher İhracatçıları Birliği
AKFEN INSAAT TURIZM VE TIC.A.S;KOZA SOKAK NO.22 ÇANKAYA ANKARA;(312) 4414211;www.akfen.com.tr;akfen.com.tr;JTR - Mücevher İhracatçıları Birliği
AKGÜL GOLD KUYUMCULUK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MOLLA FENARİ MAH. TASVİR SOK. ÖRNEKAL İŞHANI APT. NO: 1 / 48 FATİH FATİH İSTANBUL;(212) 4653586;;;JTR - Mücevher İhracatçıları Birliği
AKGÜN KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YENİÇERİLER CAD. KÜRKÇÜLERPAZARI SOK. NO.17 FATİH İSTANBUL;(212) 5138950;www.akgunsilver.com;akgunsilver.com;JTR - Mücevher İhracatçıları Birliği
AKHAS HEDIYELIK ESYA SAN.VE TI C.LTD.STI.;MERKEZ MAH. KUYUMCULAR SOK. İSTANBUL VİZYON PARK MERKEZ PLAZA C-1 BLOK NO:4 K:9 D:913-914-915 YENİBOSNA BAHÇELİEVLER İSTANBUL;(212) 6030949;www.akhas.com;akhas.com;JTR - Mücevher İhracatçıları Birliği
AKIN ZİNCİR TAKI TASARIM SAN. VE TİC. LTD.ŞTİ.;YENİBOSNA MERKEZ MAH. KUYUMCULAR SK. VİZYONPARK N:4C/2 BLK.509/5 İSTANBUL/BAHÇELİEVLER BAHÇELİEVLER İSTANBUL;(212) 6031199;;;JTR - Mücevher İhracatçıları Birliği
AKİF DURGUN;MOLLA FENARI MAH. KÜRKÇÜLER PAZARI SK NO :4 /D 34980 FATİH, İSTANBUL, TÜRKİYENO:5/2 EMİNÖNÜ/CAĞALOĞLU FATİH İSTANBUL;;;;JTR - Mücevher İhracatçıları Birliği
AKS ANAHTAR KONTAK SANAYİ VE TİCARET A.Ş.;RAMAZANOĞLU MH.SANAYI CD. NO 40 PENDİK İSTANBUL;02165950355;www.akskontak.com.tr;akskontak.com.tr;JTR - Mücevher İhracatçıları Birliği
AKSOY DANIŞMANLIK İLETİŞİM TELEKOMÜNİKASYON VE TİCARET LİMİTED ŞİRKETİ;MERKEZ MAH. SALİHPAŞA CADDESİ DABAKLAR İŞMERKEZİ NNO:32/25 GAZİOSMANPAŞA İSTANBUL;(212) 0000000;;;JTR - Mücevher İhracatçıları Birliği
AKSU JEWELLERY KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;MERKEZ MH.LADIN SK.KUYUMCUKENT SIT.NO:4/4242 YENIBOSNA BAHÇELİEVLER/İSTANBUL BAHÇELİEVLER İSTANBUL;(212) 6032153;;;JTR - Mücevher İhracatçıları Birliği
AKTIF DEĞERLİ MADENLER VE KUYUMCULUK SAN. TİC. LTD. ŞTİ.;EMİNSİNAN MAH. EVKAF SOK. GÜNEŞ HAN NO:11 İÇ KAPI NO:7 FATİH İSTANBUL;(212) 6380518;;;JTR - Mücevher İhracatçıları Birliği
AKYA GOLD KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;KOCA MUSTAFA PAŞA MAH. ŞIRLAĞAN SOK.NO:17/6 FATİH İSTANBUL;;;;JTR - Mücevher İhracatçıları Birliği
