"Kaynak";"Kategori";"FirmaAdi";"WebSitesi";"Domain"
"IdeaSoft";"beyaz esya ev aletleri";"asillerarcelik";"http://www.asillerarcelik.com/";"asillerarcelik.com"
"IdeaSoft";"beyaz esya ev aletleri";"arcesdtm";"http://www.arcesdtm.com/";"arcesdtm.com"
"IdeaSoft";"beyaz esya ev aletleri";"ankastrecity";"http://www.ankastrecity.com/";"ankastrecity.com"
"IdeaSoft";"beyaz esya ev aletleri";"zumrutcarsi";"http://www.zumrutcarsi.com/";"zumrutcarsi.com"
"IdeaSoft";"beyaz esya ev aletleri";"turuncuelma";"http://www.turuncuelma.com/";"turuncuelma.com"
"IdeaSoft";"bilgisayar bilisim";"toshibashop";"http://www.toshibashop.com.tr/";"toshibashop.com.tr"
"IdeaSoft";"bilgisayar bilisim";"canbilteknoloji";"http://www.canbilteknoloji.com/";"canbilteknoloji.com"
"IdeaSoft";"bilgisayar bilisim";"tvt";"http://www.tvt.com.tr/";"tvt.com.tr"
"IdeaSoft";"bilgisayar bilisim";"hpsunucu";"http://www.hpsunucu.com/";"hpsunucu.com"
"IdeaSoft";"bilgisayar bilisim";"hepsilenovo";"http://www.hepsilenovo.com/";"hepsilenovo.com"
"IdeaSoft";"bilgisayar bilisim";"syd";"http://www.syd.com.tr/";"syd.com.tr"
"IdeaSoft";"bilgisayar bilisim";"toptanbilgisayar";"http://www.toptanbilgisayar.net/";"toptanbilgisayar.net"
"IdeaSoft";"bilgisayar bilisim";"bilisimgurusu";"http://www.bilisimgurusu.com/";"bilisimgurusu.com"
"IdeaSoft";"canta";"centrumbags";"http://www.centrumbags.com/";"centrumbags.com"
"IdeaSoft";"canta";"bernaboutique";"http://www.bernaboutique.com/";"bernaboutique.com"
"IdeaSoft";"canta";"markaburadagidiyor";"https://www.markaburadagidiyor.com/";"markaburadagidiyor.com"
"IdeaSoft";"canta";"deri724";"http://www.deri724.com/";"deri724.com"
"IdeaSoft";"canta";"cantasevgisi";"http://www.cantasevgisi.com/";"cantasevgisi.com"
"IdeaSoft";"cep telefonu aksesuarlari";"ttec";"http://www.ttec.com.tr/";"ttec.com.tr"
"IdeaSoft";"cep telefonu aksesuarlari";"hopiyodi";"http://www.hopiyodi.net/";"hopiyodi.net"
"IdeaSoft";"cep telefonu aksesuarlari";"ekorium";"http://www.ekorium.com/";"ekorium.com"
"IdeaSoft";"cep telefonu aksesuarlari";"cesitcok";"http://www.cesitcok.com/";"cesitcok.com"
"IdeaSoft";"cep telefonu aksesuarlari";"cebimegir";"http://www.cebimegir.com/";"cebimegir.com"
"IdeaSoft";"cep telefonu aksesuarlari";"tele tur";"http://www.tele-tur.com.tr/";"tele-tur.com.tr"
"IdeaSoft";"cep telefonu aksesuarlari";"more tr";"http://www.more-tr.com/";"more-tr.com"
"IdeaSoft";"cep telefonu aksesuarlari";"ligovi";"http://www.ligovi.com/";"ligovi.com"
"IdeaSoft";"cep telefonu aksesuarlari";"ceppark";"http://www.ceppark.com/";"ceppark.com"
"IdeaSoft";"cep telefonu aksesuarlari";"microzen";"http://www.microzen.com.tr/";"microzen.com.tr"
"IdeaSoft";"ceyiz zuccaciye";"essenso";"http://www.essenso.com.tr/";"essenso.com.tr"
"IdeaSoft";"ceyiz zuccaciye";"evomarka";"http://www.evomarka.com/";"evomarka.com"
"IdeaSoft";"ceyiz zuccaciye";"ceyyiz";"http://www.ceyyiz.com/";"ceyyiz.com"
"IdeaSoft";"ceyiz zuccaciye";"binbirceyiz";"http://www.binbirceyiz.com/";"binbirceyiz.com"
"IdeaSoft";"ceyiz zuccaciye";"bambumstore";"http://www.bambumstore.com/";"bambumstore.com"
"IdeaSoft";"ceyiz zuccaciye";"saruhanstore";"http://saruhanstore.com/";"saruhanstore.com"
"IdeaSoft";"ceyiz zuccaciye";"mutfaginiz";"http://www.mutfaginiz.com/";"mutfaginiz.com"
"IdeaSoft";"ceyiz zuccaciye";"dinnerdesign";"http://www.dinnerdesign.com.tr/";"dinnerdesign.com.tr"
"IdeaSoft";"ceyiz zuccaciye";"happymadame";"http://www.happymadame.com/";"happymadame.com"
"IdeaSoft";"ceyiz zuccaciye";"aryildizcourt";"http://www.aryildizcourt.com/";"aryildizcourt.com"
"IdeaSoft";"cok cesitli urunler";"tamsaatinde";"http://www.tamsaatinde.com/";"tamsaatinde.com"
"IdeaSoft";"cok cesitli urunler";"genisreyon";"http://www.genisreyon.com/";"genisreyon.com"
"IdeaSoft";"cok cesitli urunler";"ucuzkasa";"http://www.ucuzkasa.com/";"ucuzkasa.com"
