FirmaAdi;WebSitesi;Domain;Email
"Borç Ödeme";"https://borkarmaosb.tahsildar.com.tr/pay/un-authenticated-payment";"borkarmaosb.tahsildar.com.tr";""
"Enerji İzleme";"http://88.247.25.196:8080/Login.aspx";"88.247.25.196";""
"GES Başvurusu";"https://borosb.osbyonetim.com/login";"borosb.osbyonetim.com";""
"Online Ödeme";"https://borkarmaosb.tahsildar.com.tr/pay/un-authenticated-payment";"borkarmaosb.tahsildar.com.tr";""
"Web Tasarım & Yazılım İMO MEDYA.";"https://imomedya.com/";"imomedya.com";""
