firma_adi;adres;telefon;website;domain;birlik
DOĞUKAN UZAK;MALTEPE MAH.AİLEBAHÇESİ LİTROSYOLU SK.NO.3 ZEYTİNBURNU İSTANBUL;(212) 4800041;http://www.feza.com.tr;feza.com.tr;ÇİB - Çelik İhracatçıları Birliği
İSTANBUL MAKİNA VE OTOMASYON SİSTEMLERİ SAN. VE TİC. A. Ş.;İMES SAN SİT B BLOK 203 SK NO:7 ÜMRANİYE İSTANBUL;(216) 5266500;www.istanbulmakina.com.tr;istanbulmakina.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
MEKANİK GROUP MAKİNE ANONİM ŞİRKETİ;İKİTELLİ ORG. SAN. BÖLGESİ TORMAK SANAYİ SİTESİ T BLOK NO:28 BAŞAKŞEHİR İSTANBUL;(212) 4851754;www.mekanikmakina.com.tr;mekanikmakina.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
SCHUNK INTEC BAĞLAMA SİSTEMLERİ VE OTOMASYON SAN.VE TİC.LTD.ŞTİ.;KÜÇÜKYALI İŞ MERKEZİ GİRNE MH.IRMAK SK.A BLOK NO:9 MALTEPE İSTANBUL;(216) 3662111;www.schunk.com;schunk.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
YEKPA MUHENDİSLİK PANO ELEKTRİK VE DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ;İKİTELLİ OSB MAH. METAL-İŞ 11. BLOK SOKAK METAİL İŞ SANAYİ 11. BLOK NO=13/13 İKİTELLİ BAŞAKŞEHİR İSTANBUL;(212) 6711508;www.yekpamuhendislik.com;yekpamuhendislik.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
ONYX YAPI VE METAL MALZEMELER İTHALAT İHRACAT LİMİTED ŞİRKETİ;HADIMKÖY KAVŞAĞI 2312 SK BURÇ İSTANBUL KAT:21/188 ESENYURT İSTANBUL;(212) 9996910;www.onyxmetal.com.tr;onyxmetal.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
META ENDÜSTRİYEL MUTFAK VE SOĞUTMA EKİPMANLARI SAN. TİC. LTD. ŞTİ.;YENİMAHALLE CEBECİ NO:74/A GAZİOSMANPAŞA İSTANBUL;(212) 6173035;www.metamutfak.com;metamutfak.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
KAREN ELEKTRİK VE ENDÜSTRİYEL ÜRÜNLER DIŞ TİCARET LİMİTED ŞİRKETİ;HALİL RIFAT PAŞA MAHALLESİ YÜZER HAVUZ SOKAK PERPA TİCARET MERKEZİ B BLOK NO:1/1/950 ŞİŞLİ İSTANBUL;(212) 9390757;karenelektrik.com.tr;karenelektrik.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
IŞILDAK PLASTİK SANAYİ TİCARET LİMİTED ŞİRKETİ;BAĞLAR MAH. OSMANPAŞA CAD. NO: 26 KAT: 1 GÜNEŞLİ BAĞCILAR İSTANBUL;(212) 6512606;www.isildakplastik.com.tr;isildakplastik.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
GARANTİ YAPI SANAYİ İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ;TURGUT REİS MAH. DOMOKRASİ NO.169/A SULTANBEYLİ İSTANBUL;(216) 4197318;www.plisseri.com;plisseri.com;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
CARİS DESIGN SANDALYE MASA SANAYİ VE DIŞ TİCARET LTD. ŞTİ.;HARAÇÇI MH HADIMKÖY YOLU CD NO:8 ARNAVUTKÖY İSTANBUL;(212) 6831373;www.caris.com.tr;caris.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
BC GLOBAL İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ;İSTANBUL CD. YENİ MAHALLE MAH.81/A KAT:2 BAKIRKÖY İSTANBUL;(212) 5435401;www.bcglobalinsaat.com;bcglobalinsaat.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
YENIAY HIDROLIK PNÖMATIK HIRDAVAT MAKINA SANAYI VE TICARET LIMITED SIRKETI;ÜMRANİYE YUKARI DUDULLUİMES SAN. SİT. 3 SOSYAL TESNO:22/A ÜMRANİYE İSTANBUL;(216) 4668773;www.yeniayhidrolik.com;yeniayhidrolik.com;ÇİB - Çelik İhracatçıları Birliği
NNG ENERJİ TEKNOLOJİ TAAHHÜT VE TİCARET LİMİTED ŞİRKETİ;KISIKLI MAHALLESİ İMAM ETHEM SOKAK NO:4 /1 PK:34692 ÜSKÜDAR İSTANBUL;(216) 5106962;www.nngenerji.com;nngenerji.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
NOYA VERA DIŞ TİCARET LTD.ŞTİ.;HURRIYET BULVARI 4/1 KAVALAPLAZA 504 KONAK İZMİR;02324467454;www.noyavera.com;noyavera.com;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
ATOS KİLİT ANONİM ŞİRKETİ;İKİTELLİ O.S.B. ESOT SAN. SİTESİ B BLOK NO:4 BAŞAKŞEHİR İSTANBUL;(212) 6702867;www.atoskilit.com.tr;atoskilit.com.tr;ÇİB - Çelik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
ASAL METAL SAN.TIC.LTD.STI.;İKİTELLİ ORG. SAN. BÖLGESİ ESKOOPSAN. SIT. C6 BLK NO.345 İKİTELLİ BAŞAKŞEHİR İSTANBUL;(212) 5498190;www.asalmetal.com;asalmetal.com;ÇİB - Çelik İhracatçıları Birliği
ETEKNİK OTOMASYON TİCARET LİMİTED ŞİRKETİ;HALİL RIFAT PAŞA MH YÜZER HAVUZ SK PERPA TİC MERKEZİ B BLOK KAT:11/1636-1637 ŞİŞLİ İSTANBUL;(212) 3208110;www.eteknik.com;eteknik.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
ACATAY TEKSTİL MALZEMELERİ İÇ VE DIŞ TICARET LİMİTED ŞİRKETİ;PORTAKAL CICEGI SOK ANSERA ISMRK NO 17/74 ÇANKAYA ANKARA;03124423289;www.acatay.com;acatay.com;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği
İNTERNİ DIŞ TİC.LTD.ŞTİ.;DİKİLİTAŞ MAH. AYAZMA DERE CAD.MEDYA PLAZA K:7 BEŞİKTAŞ İSTANBUL;(212) 2414030;www.interni.com.tr;interni.com.tr;ÇİB - Çelik İhracatçıları Birliği, TET - Elektrik ve Elektronik İhracatçıları Birliği, İDDMİB - İstanbul Demir ve Demirdışı Metaller İhracatçıları Birliği, İMİB - İstanbul Maden İhracatçıları Birliği
