firma_adi;adres;telefon;website;domain;birlik
NOKTA ÇELİKHALAT VE MAKİNA SANAYİ TİCARET A.Ş.;ESENKENT MH. KURTULUŞ CD. NO:91/B ÜMRANİYE İSTANBUL;(216) 5278007;http://www.noktacelikhalat.com;noktacelikhalat.com;ÇİB - Çelik İhracatçıları Birliği
KOMAX TESTING TÜRKIYE TEST SİSTEMLERİ SANAYİ LİMİTED ŞİRKETİ;KARAMEHMET MAH. AVRUPA SERBEST BÖLGESİ 9. SOK NO:9 BÖLGESİ 9.SOK NO:09 ERGENE TEKİRDAĞ;;https://www.t-s-k.de/;t-s-k.de;ÇİB - Çelik İhracatçıları Birliği
BOZTAŞ CİVATA SANAYİ VE TİCARET LİMİTED ŞİRKETİ;KAYABAŞI MAH.FABRİKALAR MEVKİİ 1735 SOK.N:9/A BAŞAKŞEHİR İSTANBUL;(212) 2569960;www.boztascivata.com.tr;boztascivata.com.tr;ÇİB - Çelik İhracatçıları Birliği
MAKYOL İNŞAAT SANAYİ TURİZM VE TİCARET ANONİM ŞİRKETİ;TEPECİK CAD. MELODİ SK. İTÜ BLOKLARI, E BLOK, BEŞİKTAŞ İSTANBUL;(212) 3514151;http://www.makyol.com.tr/tr;makyol.com.tr;ÇİB - Çelik İhracatçıları Birliği
ASİST ALÜMİNYUM PROFİL SAN. VE TİC. A.Ş.;KIZILCIKDERE O.S.B.2. CAD. N:2 MERKEZ KIRKLARELİ;(288) 2634415;www.asistal.com;asistal.com;ÇİB - Çelik İhracatçıları Birliği
FERPO DIŞ TİC.LTD.ŞTİ;İSTANBUL VİZYON PARK OFİS PLAZA 5 KAT:4 NO:52 BAHÇELİEVLER İSTANBUL;(212) 6030709;www.ferpotrade.com;ferpotrade.com;ÇİB - Çelik İhracatçıları Birliği
SORA KOZMETİK SANAYİ TİCARET ANONİM ŞİRKETİ;GAZITEPE MAH. AYBAR SOK. NO: 7 SİLİVRİ İSTANBUL;(212) 7388464;www.soracosmetics.com;soracosmetics.com;ÇİB - Çelik İhracatçıları Birliği
NOKSİ METAL SAN.VE DIŞ TİCARET LTD.ŞTİ.;FATİH MAHALLESİ EMİRHAN SK. NO:1SAMANDIRA SAMANDIRA SANCAKTEPE İSTANBUL;(216) 3140330;www.noksi.com.tr;noksi.com.tr;ÇİB - Çelik İhracatçıları Birliği
PANEKSPORT DIŞ TİC A.Ş.;ŞEKERPINAR MAH ÇİĞDEM SK NO:13 ÇAYIROVA KOCAELİ;;www.panekspanel.com;panekspanel.com;ÇİB - Çelik İhracatçıları Birliği
RENKTON ALÜMİNYUM NAK.İNŞ.VE PROFİL BOYAMA SAN.TİC.LTD.ŞTİ.;DUMLUPINAR MH DUMLUPINAR CD NO:7/A ÜMRANİYE İSTANBUL;(216) 6315191;www.renktonaluminyum.com;renktonaluminyum.com;ÇİB - Çelik İhracatçıları Birliği
