FirmaAdi;WebSitesi;Domain;Email
"Giyimlik Kumaş Kümesi";"https://www.dosabkumelenme.com/Detay/112/DOSAB-Giyimlik-Kumas-UR-GE-Projesi";"dosabkumelenme.com";""
"Katılımcı Anketi";"https://forms.office.com/pages/responsepage.aspx?id=DQSIkWdsW0yxEjajBLZtrQAAAAAAAAAAAAO__bzAQmhUNFBBNko5V0pKRjZNSjRVUThYMEQyVjM2RS4u";"forms.office.com";""
"Kreş ve Gündüz Bakımevi";"http://dosabkres.com/Anasayfa";"dosabkres.com";""
"Yeşil OSB Veri Toplama Anketi";"https://1gbjjp7n.forms.app/basliksiz-form-1";"1gbjjp7n.forms.app";""
"yeşilbeyaz";"http://www.yesilbeyaz.com.tr";"yesilbeyaz.com.tr";""
